,,,,date_value 1,,date_value 2,,,,
pk,doc_date,start_date,first concept date,date,value,date,value,end_date,pintura,destrate
A6N-13N-62-O1^2015-01-01,01/01/2015,01/01/2015,01/01/2022,01/01/2022,1065000,,,,,
A6N-13N-62-S103^2022-05-01,01/05/2022,01/05/2022,01/05/2022,01/05/2022,790000,,,,,
A6N-13N-62-S111^2021-04-01,01/04/2021,11/03/2021,01/01/2022,01/04/2021,700000,,,31/03/2022,,
A6N-13N-62-S112^2015-04-01,01/04/2015,01/04/2015,01/01/2022,01/04/2021,560000,01/04/2022,605000,,,
A6N-13N-62-S203^2020-10-01,01/10/2020,03/09/2020,01/01/2022,01/10/2020,620000,01/10/2021,620000,31/01/2022,200000,1860000
A6N-13N-62-S207^2004-03-26,26/03/2004,,27/01/2022,27/03/2021,485000,27/03/2022,497000,26/04/2022,,
A6N-13N-62-S211^2017-03-08,08/03/2017,08/03/2017,08/03/2022,08/03/2021,467000,08/02/2022,478000,,,
A6N-13N-62-S221^2018-06-15,01/06/2022,01/06/2022,01/06/2022,01/06/2022,570000,,,,,
A6N-13N-62-S304^2022-02-01,01/02/2021,,01/01/2022,01/02/2021,650000,,,31/01/2022,200000,
