,state_change_user_id,state_change_date,state,id_number,id_type,type,name,complete_name,person_ptr_id,legal_type
0,1,2022-08-29 22:01:34.561253+00:00,1,900244841,1,1,Actividades Textiles,Actividades Textiles S.A.S.,900244841,1
1,1,2022-08-29 22:01:34.445576+00:00,1,890904130,1,1,Alimentos Carnicos,Alimentos Carnicos S.A.S.,890904130,1
2,3,2022-08-29 22:01:34.736288+00:00,1,890304130,1,1,Alimentos Carnicos,Alimentos Carnicos S.A.S.,890304130,1
3,1,2022-08-29 22:01:34.392779+00:00,1,901012053,1,1,Andiplast Envases,Andiplast Envases S.A.S.,901012053,1
4,1,2022-08-29 22:01:34.590367+00:00,1,900858114,1,1,Arquimaderas,Arquimaderas S.A.S.,900858114,1
5,1,2022-08-29 22:01:34.552480+00:00,1,901012767,1,1,Asoboce,Asoboce S.A.S.,901012767,1
6,3,2022-08-29 22:01:34.754003+00:00,1,901393460,1,1,Bio Ambar,Bio Ambar S.A.S.,901393460,1
7,1,2022-08-29 22:01:34.418979+00:00,1,900961321,1,1,Cocoambiental,Cocoambiental S.A.S.,900961321,1
8,1,2022-08-29 22:01:34.517484+00:00,1,800017469,1,1,Comercializadora Omega,Comercializadora Omega LTDA.,800017469,2
9,1,2022-08-29 22:01:34.383632+00:00,1,800219204,1,1,Coragro,Coragro S.A.,800219204,0
10,1,2022-08-29 22:01:34.599296+00:00,1,800136505,1,1,Datecsa,Datecsa S.A.,800136505,0
11,1,2022-08-29 22:01:34.535007+00:00,1,900206937,1,1,Del Corte Mobiliari,Del Corte Mobiliari S.A.S.,900206937,1
12,1,2022-08-29 22:01:34.608155+00:00,1,901257178,1,1,Diesel Lujo Ferreteria Al Costo,Diesel Lujo Ferreteria Al Costo S.A.S.,901257178,1
13,3,2022-08-29 22:01:34.745350+00:00,1,900042300,1,1,Distriferretera de Colombia,Distriferretera de Colombia S.A.S.,900042300,1
14,1,2022-08-29 22:01:34.616883+00:00,1,890323635,1,1,El Comercio ELectrico,El Comercio ELectrico LTDA.,890323635,2
15,1,2022-08-29 22:01:34.634526+00:00,1,901439406,1,1,Electo Iluminaciones EH,Electo Iluminaciones EH S.A.S.,901439406,1
16,1,2022-08-29 22:01:34.625689+00:00,1,890304345,1,1,Electricos del Valle,Electricos del Valle S.A.,890304345,0
17,1,2022-08-29 22:01:34.643400+00:00,1,901462569,1,1,Ferreteria 5A Norte,Ferreteria 5A Norte S.A.S.,901462569,1
18,1,2022-08-29 22:01:34.652055+00:00,1,890308587,1,1,Ferreteria Barbosa y Cia,Ferreteria Barbosa y Cia S.A.S.,890308587,1
19,1,2022-08-29 22:01:34.660891+00:00,1,860067998,1,1,Ferreteria Miltialambres,Ferreteria Miltialambres S.A.S.,860067998,1
20,1,2022-08-29 22:01:34.526255+00:00,1,805018771,1,1,"Ferreteria,Pinturas Y Productos Agropecuarios","Ferreteria,Pinturas Y Productos Agropecuarios LTDA.",805018771,2
21,1,2022-08-29 22:01:34.669612+00:00,1,901042248,1,1,Ferretornillos Arlex,Ferretornillos Arlex S.A.S.,901042248,1
22,3,2022-08-29 22:01:34.727673+00:00,1,805020753,1,1,Frenos y Direcciones Valencia D.Y Cia,Frenos y Direcciones Valencia D.Y Cia LTDA.,805020753,2
