,id,state_change_user_id,state_change_date,state,accountable_id,transaction_type_id,commit_template_id,bill_template_id,receive_template_id
0,2,1,2022-10-26 17:09:33.971132+00:00,2,A6N-13N-62-O1^2015-01-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
1,3,1,2022-10-26 17:09:33.971170+00:00,2,A6N-13N-62-S101^2021-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
2,4,1,2022-10-26 17:09:33.971192+00:00,2,A6N-13N-62-S102^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
3,5,1,2022-10-26 17:09:33.971211+00:00,2,A6N-13N-62-S103^2020-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
4,6,1,2022-10-26 17:09:33.971229+00:00,2,A6N-13N-62-S103^2022-05-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
5,7,1,2022-10-26 17:09:33.971247+00:00,2,A6N-13N-62-S104^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
6,8,1,2022-10-26 17:09:33.971265+00:00,2,A6N-13N-62-S105^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
7,9,1,2022-10-26 17:09:33.971283+00:00,2,A6N-13N-62-S108^2016-12-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
8,10,1,2022-10-26 17:09:33.971301+00:00,2,A6N-13N-62-S109^2021-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
9,11,1,2022-10-26 17:09:33.971318+00:00,2,A6N-13N-62-S110^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
10,12,1,2022-10-26 17:09:33.971336+00:00,2,A6N-13N-62-S111^2021-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
11,13,1,2022-10-26 17:09:33.971354+00:00,2,A6N-13N-62-S111^2022-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
12,14,1,2022-10-26 17:09:33.971438+00:00,2,A6N-13N-62-S112^2015-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
13,15,1,2022-10-26 17:09:33.971473+00:00,2,A6N-13N-62-S114^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
