,id,state_change_user_id,state_change_date,state,realty_id,estate_id,percentage
0,1,1,2022-11-02 15:32:13.472677+00:00,1,A6N-13N-62-O1,760010100020700370004000000004,100.0000
1,2,1,2022-11-02 15:32:13.472729+00:00,1,A6N-13N-62-S101,760010100020700370004000000004,100.0000
2,3,1,2022-11-02 15:32:13.472753+00:00,1,A6N-13N-62-S102,760010100020700370004000000004,100.0000
3,4,1,2022-11-02 15:32:13.472773+00:00,1,A6N-13N-62-S103,760010100020700370004000000004,100.0000
4,5,1,2022-11-02 15:32:13.472792+00:00,1,A6N-13N-62-S104,760010100020700370004000000004,100.0000
5,6,1,2022-11-02 15:32:13.472811+00:00,1,A6N-13N-62-S105,760010100020700370004000000004,100.0000
6,7,1,2022-11-02 15:32:13.472830+00:00,1,A6N-13N-62-S106,760010100020700370004000000004,100.0000
7,8,1,2022-11-02 15:32:13.472849+00:00,1,A6N-13N-62-S107,760010100020700370004000000004,100.0000
8,9,1,2022-11-02 15:32:13.472867+00:00,1,A6N-13N-62-S108,760010100020700370004000000004,100.0000
9,10,1,2022-11-02 15:32:13.472886+00:00,1,A6N-13N-62-S109,760010100020700370004000000004,100.0000
10,11,1,2022-11-02 15:32:13.472904+00:00,1,A6N-13N-62-S110,760010100020700370004000000004,100.0000
11,12,1,2022-11-02 15:32:13.472921+00:00,1,A6N-13N-62-S111,760010100020700370004000000004,100.0000
12,13,1,2022-11-02 15:32:13.472939+00:00,1,A6N-13N-62-S112,760010100020700370004000000004,100.0000
13,14,1,2022-11-02 15:32:13.472957+00:00,1,A6N-13N-62-S114,760010100020700370004000000004,100.0000
14,15,1,2022-11-02 15:32:13.472975+00:00,1,A6N-13N-62-S201,760010100020700370004000000004,100.0000
15,16,1,2022-11-02 15:32:13.472993+00:00,1,A6N-13N-62-S202,760010100020700370004000000004,100.0000
16,17,1,2022-11-02 15:32:13.473011+00:00,1,A6N-13N-62-S203,760010100020700370004000000004,100.0000
17,18,1,2022-11-02 15:32:13.473029+00:00,1,A6N-13N-62-S204,760010100020700370004000000004,100.0000
