,id,state_change_user_id,state_change_date,state,ledger_id,account_id,value,concept_id,settled
0,1,1,2022-12-13 20:56:56.682756+00:00,1,CA-00000001,13802005,472000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S217^2018-12-01,False
1,2,1,2022-12-13 20:56:56.698491+00:00,1,CA-00000001,913005,-472000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S217^2018-12-01,False
2,3,1,2022-12-13 20:56:56.732443+00:00,1,CA-00000002,13802005,458000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S306^2018-06-01,False
3,4,1,2022-12-13 20:56:56.744473+00:00,1,CA-00000002,913005,-458000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S306^2018-06-01,False
4,5,1,2022-12-13 20:56:56.775651+00:00,1,CA-00000003,13802005,496000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S217^2018-12-01,False
5,6,1,2022-12-13 20:56:56.791949+00:00,1,CA-00000003,913005,-496000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S217^2018-12-01,False
6,7,1,2022-12-13 20:56:56.841135+00:00,1,CA-00000004,13802005,700000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S302^2021-08-01,False
7,8,1,2022-12-13 20:56:56.857236+00:00,1,CA-00000004,913005,-700000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S302^2021-08-01,False
8,9,1,2022-12-13 20:56:56.903765+00:00,1,CA-00000005,13802005,458000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S306^2018-06-01,False
9,10,1,2022-12-13 20:56:56.923430+00:00,1,CA-00000005,913005,-458000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S306^2018-06-01,False
10,11,1,2022-12-13 20:56:56.970062+00:00,1,CA-00000006,13802005,19000,Canon Mensual Arriendo Inmueble^2021-12-01_C18-1N-33^2021-10-01,False
11,12,1,2022-12-13 20:56:56.989920+00:00,1,CA-00000006,913005,-19000,Canon Mensual Arriendo Inmueble^2021-12-01_C18-1N-33^2021-10-01,False
12,13,1,2022-12-13 20:56:57.036500+00:00,1,CA-00000007,13802005,1440000,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-37^2012-02-01,False
13,14,1,2022-12-13 20:56:57.055721+00:00,1,CA-00000007,913005,-1440000,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-37^2012-02-01,False
14,15,1,2022-12-13 20:56:57.102141+00:00,1,CA-00000008,13802005,2450000,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-57^2001-09-01,False
