class,ledger,account,value,concept
Charge,FV-00000001,13802005,1500000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000001,13802010,285000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000001,240810,-285000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000001,913005,-1500000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000002,13802005,709677,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01
Charge,FV-00000002,13802010,134839,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01
Charge,FV-00000002,240810,-134839,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01
Charge,FV-00000002,913005,-709677,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01
Charge,FV-00000003,13802005,2000000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15
Charge,FV-00000003,13802010,380000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15
Charge,FV-00000003,240810,-380000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15
Charge,FV-00000003,913005,-2000000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15
Charge,FV-00000004,13802005,1600000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,FV-00000004,13802010,304000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,FV-00000004,240810,-304000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,FV-00000004,913005,-1600000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,FV-00000005,13802005,3000000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,FV-00000005,13802010,570000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,FV-00000005,240810,-570000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,FV-00000005,913005,-3000000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,FV-00000006,13802005,1500000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000006,13802010,285000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000006,240810,-285000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000006,913005,-1500000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000007,13802005,1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,FV-00000007,13802010,190000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,FV-00000007,240810,-190000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,FV-00000007,913005,-1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,FV-00000008,13802005,413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30
Charge,FV-00000008,913005,-413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30
Charge,FV-00000009,13802005,2000000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,FV-00000009,13802010,380000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,FV-00000009,240810,-380000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,FV-00000009,913005,-2000000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,FV-00000010,13802005,3000000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,FV-00000010,13802010,570000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,FV-00000010,240810,-570000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
