class,code,accountable,transaction_type,date
Charge_Concept,Mensualidad Arriendo Inmueble^2022-1-1_K2C-30-15-B3^2022-01-01,K2C-30-15-B3^2022-01-01,Mensualidad Arriendo Inmueble,2022-01-01
Charge_Concept,Mensualidad Arriendo Inmueble^2022-2-1_K2C-30-15-B3^2022-01-01,K2C-30-15-B3^2022-01-01,Mensualidad Arriendo Inmueble,2022-02-01
Charge_Concept,Mensualidad Arriendo Inmueble^2022-3-1_K2C-30-15-B3^2022-01-01,K2C-30-15-B3^2022-01-01,Mensualidad Arriendo Inmueble,2022-03-01
Charge_Concept,Mensualidad Arriendo Inmueble^2022-1-15_C31-1B-64^2022-01-15,C31-1B-64^2022-01-15,Mensualidad Arriendo Inmueble,2022-01-15
Charge_Concept,Mensualidad Arriendo Inmueble^2022-2-15_C31-1B-64^2022-01-15,C31-1B-64^2022-01-15,Mensualidad Arriendo Inmueble,2022-02-15
Charge_Concept,Mensualidad Arriendo Inmueble^2022-3-15_C31-1B-64^2022-01-15,C31-1B-64^2022-01-15,Mensualidad Arriendo Inmueble,2022-03-15
Charge_Concept,Mensualidad Arriendo Inmueble^2022-1-15_K1B-30-16^2022-01-31,K1B-30-16^2022-01-31,Mensualidad Arriendo Inmueble,2022-01-15
Charge_Concept,Mensualidad Arriendo Inmueble^2022-1-31_K1B-30-16^2022-01-31,K1B-30-16^2022-01-31,Mensualidad Arriendo Inmueble,2022-01-31
Charge_Concept,Mensualidad Arriendo Inmueble^2022-2-28_K1B-30-16^2022-01-31,K1B-30-16^2022-01-31,Mensualidad Arriendo Inmueble,2022-02-28
Charge_Concept,Mensualidad Arriendo Inmueble^2022-1-10_C18-1N-33^2022-01-01,C18-1N-33^2022-01-01,Mensualidad Arriendo Inmueble,2022-01-10
Charge_Concept,Mensualidad Arriendo Inmueble^2022-2-1_C18-1N-33^2022-01-01,C18-1N-33^2022-01-01,Mensualidad Arriendo Inmueble,2022-02-01
Charge_Concept,Mensualidad Arriendo Inmueble^2022-3-1_C18-1N-33^2022-01-01,C18-1N-33^2022-01-01,Mensualidad Arriendo Inmueble,2022-03-01
Charge_Concept,Mensualidad Arriendo Inmueble^2022-2-5_A6N-13N-62-S110^2022-01-30,A6N-13N-62-S110^2022-01-30,Mensualidad Arriendo Inmueble,2022-02-05
Charge_Concept,Mensualidad Arriendo Inmueble^2022-2-28_A6N-13N-62-S110^2022-01-30,A6N-13N-62-S110^2022-01-30,Mensualidad Arriendo Inmueble,2022-02-28
