class,ledger,account,value,concept
Charge,FV-000001,13802005,1500000,Mensualidad Arriendo Inmueble^2022-1-1_K2C-30-15-B3^2022-01-01
Charge,FV-000001,13502010,285000,Mensualidad Arriendo Inmueble^2022-1-1_K2C-30-15-B3^2022-01-01
Charge,FV-000001,240810,-285000,Mensualidad Arriendo Inmueble^2022-1-1_K2C-30-15-B3^2022-01-01
Charge,FV-000001,91150505,-1500000,Mensualidad Arriendo Inmueble^2022-1-1_K2C-30-15-B3^2022-01-01
Charge,FV-000002,13802005,709677,Mensualidad Arriendo Inmueble^2022-1-10_C18-1N-33^2022-01-01
Charge,FV-000002,13502010,134839,Mensualidad Arriendo Inmueble^2022-1-10_C18-1N-33^2022-01-01
Charge,FV-000002,240810,-134839,Mensualidad Arriendo Inmueble^2022-1-10_C18-1N-33^2022-01-01
Charge,FV-000002,91150505,-709677,Mensualidad Arriendo Inmueble^2022-1-10_C18-1N-33^2022-01-01
Charge,FV-000003,13802005,2000000,Mensualidad Arriendo Inmueble^2022-1-15_C31-1B-64^2022-01-15
Charge,FV-000003,13502010,380000,Mensualidad Arriendo Inmueble^2022-1-15_C31-1B-64^2022-01-15
Charge,FV-000003,240810,-380000,Mensualidad Arriendo Inmueble^2022-1-15_C31-1B-64^2022-01-15
Charge,FV-000003,91150505,-2000000,Mensualidad Arriendo Inmueble^2022-1-15_C31-1B-64^2022-01-15
Charge,FV-000004,13802005,1600000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,FV-000004,13502010,304000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,FV-000004,240810,-304000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,FV-000004,91150505,-1600000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,FV-000005,13802005,3000000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,FV-000005,13502010,570000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,FV-000005,240810,-570000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,FV-000005,91150505,3000000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,FV-000006,13802005,1500000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,FV-000006,13502010,285000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,FV-000006,240810,-285000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,FV-000006,91150505,-1500000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,FV-000007,13802005,1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,FV-000007,13502010,190000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,FV-000007,240810,-190000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,FV-000007,91150505,-1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,FV-000008,13802005,413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30
Charge,FV-000008,91150505,-413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30
Charge,FV-000009,13802005,2000000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,FV-000009,13502010,380000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,FV-000009,240810,-380000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,FV-000009,91150505,-2000000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,FV-000010,13802005,3000000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,FV-000010,13502010,570000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,FV-000010,240810,-570000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,FV-000010,91150505,3000000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,FV-000011,13802005,500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30
Charge,FV-000011,91150505,500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30
Charge,FV-000012,13802005,1500000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
Charge,FV-000012,13502010,285000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
Charge,FV-000012,240810,-285000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
