code,accountable_ptr_id,doc_date,start_date,end_date,concept_formset_dict
A6N-13N-62-O1^2015-01-01,A6N-13N-62-O1^2015-01-01,2015-01-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-O1^2015-01-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 1065000}, {'accountable': <Lease_Realty: A6N-13N-62-O1^2015-01-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 1065000}, {'accountable': <Lease_Realty: A6N-13N-62-O1^2015-01-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 1065000}, {'accountable': <Lease_Realty: A6N-13N-62-O1^2015-01-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 1065000}, {'accountable': <Lease_Realty: A6N-13N-62-O1^2015-01-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 1065000}, {'accountable': <Lease_Realty: A6N-13N-62-O1^2015-01-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 1065000}, {'accountable': <Lease_Realty: A6N-13N-62-O1^2015-01-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 1065000}, {'accountable': <Lease_Realty: A6N-13N-62-O1^2015-01-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 1065000}]"
A6N-13N-62-S101^2021-04-01,A6N-13N-62-S101^2021-04-01,2021-04-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S101^2021-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 1100000}, {'accountable': <Lease_Realty: A6N-13N-62-S101^2021-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 1100000}, {'accountable': <Lease_Realty: A6N-13N-62-S101^2021-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 1100000}, {'accountable': <Lease_Realty: A6N-13N-62-S101^2021-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 1190000}, {'accountable': <Lease_Realty: A6N-13N-62-S101^2021-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 1190000}, {'accountable': <Lease_Realty: A6N-13N-62-S101^2021-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 1190000}, {'accountable': <Lease_Realty: A6N-13N-62-S101^2021-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 1190000}, {'accountable': <Lease_Realty: A6N-13N-62-S101^2021-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 1190000}]"
A6N-13N-62-S102^2021-10-01,A6N-13N-62-S102^2021-10-01,2021-10-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S102^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 940000}, {'accountable': <Lease_Realty: A6N-13N-62-S102^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 940000}, {'accountable': <Lease_Realty: A6N-13N-62-S102^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 940000}, {'accountable': <Lease_Realty: A6N-13N-62-S102^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 940000}, {'accountable': <Lease_Realty: A6N-13N-62-S102^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 940000}, {'accountable': <Lease_Realty: A6N-13N-62-S102^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 940000}, {'accountable': <Lease_Realty: A6N-13N-62-S102^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 940000}, {'accountable': <Lease_Realty: A6N-13N-62-S102^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 940000}]"
A6N-13N-62-S103^2020-06-01,A6N-13N-62-S103^2020-06-01,2020-06-01,2022-01-01,2022-04-30,"[{'accountable': <Lease_Realty: A6N-13N-62-S103^2020-06-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 790000}, {'accountable': <Lease_Realty: A6N-13N-62-S103^2020-06-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 790000}, {'accountable': <Lease_Realty: A6N-13N-62-S103^2020-06-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 790000}, {'accountable': <Lease_Realty: A6N-13N-62-S103^2020-06-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 763667}]"
A6N-13N-62-S103^2022-05-01,A6N-13N-62-S103^2022-05-01,2022-05-01,2022-05-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S103^2022-05-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 840000}, {'accountable': <Lease_Realty: A6N-13N-62-S103^2022-05-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 840000}, {'accountable': <Lease_Realty: A6N-13N-62-S103^2022-05-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 840000}, {'accountable': <Lease_Realty: A6N-13N-62-S103^2022-05-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 840000}]"
A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,2021-08-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S104^2021-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 840000}, {'accountable': <Lease_Realty: A6N-13N-62-S104^2021-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 840000}, {'accountable': <Lease_Realty: A6N-13N-62-S104^2021-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 840000}, {'accountable': <Lease_Realty: A6N-13N-62-S104^2021-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 840000}, {'accountable': <Lease_Realty: A6N-13N-62-S104^2021-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 840000}, {'accountable': <Lease_Realty: A6N-13N-62-S104^2021-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 840000}, {'accountable': <Lease_Realty: A6N-13N-62-S104^2021-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 840000}, {'accountable': <Lease_Realty: A6N-13N-62-S104^2021-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 890000}]"
A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,2021-09-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S105^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 850000}, {'accountable': <Lease_Realty: A6N-13N-62-S105^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 850000}, {'accountable': <Lease_Realty: A6N-13N-62-S105^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 850000}, {'accountable': <Lease_Realty: A6N-13N-62-S105^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 850000}, {'accountable': <Lease_Realty: A6N-13N-62-S105^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 850000}, {'accountable': <Lease_Realty: A6N-13N-62-S105^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 850000}, {'accountable': <Lease_Realty: A6N-13N-62-S105^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 850000}, {'accountable': <Lease_Realty: A6N-13N-62-S105^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 850000}]"
A6N-13N-62-S108^2016-12-01,A6N-13N-62-S108^2016-12-01,2016-12-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S108^2016-12-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 638000}, {'accountable': <Lease_Realty: A6N-13N-62-S108^2016-12-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 638000}, {'accountable': <Lease_Realty: A6N-13N-62-S108^2016-12-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 638000}, {'accountable': <Lease_Realty: A6N-13N-62-S108^2016-12-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 638000}, {'accountable': <Lease_Realty: A6N-13N-62-S108^2016-12-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 638000}, {'accountable': <Lease_Realty: A6N-13N-62-S108^2016-12-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 638000}, {'accountable': <Lease_Realty: A6N-13N-62-S108^2016-12-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 638000}, {'accountable': <Lease_Realty: A6N-13N-62-S108^2016-12-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 638000}]"
A6N-13N-62-S109^2021-07-01,A6N-13N-62-S109^2021-07-01,2021-07-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S109^2021-07-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 450000}, {'accountable': <Lease_Realty: A6N-13N-62-S109^2021-07-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 450000}, {'accountable': <Lease_Realty: A6N-13N-62-S109^2021-07-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 450000}, {'accountable': <Lease_Realty: A6N-13N-62-S109^2021-07-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 450000}, {'accountable': <Lease_Realty: A6N-13N-62-S109^2021-07-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 450000}, {'accountable': <Lease_Realty: A6N-13N-62-S109^2021-07-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 450000}, {'accountable': <Lease_Realty: A6N-13N-62-S109^2021-07-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 502000}, {'accountable': <Lease_Realty: A6N-13N-62-S109^2021-07-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 502000}]"
A6N-13N-62-S110^2021-09-01,A6N-13N-62-S110^2021-09-01,2021-09-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S110^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S110^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S110^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S110^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S110^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S110^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S110^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S110^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 530000}]"
