code,accountable_ptr_id,doc_date,start_date,end_date,pending_date_value_dates
A6N-13N-62-O1^2015-01-01,A6N-13N-62-O1^2015-01-01,2015-01-01,2022-01-01,,<QuerySet [<Date_Value: 01-01-2022 $1065000 None^None>]>
A6N-13N-62-S101^2021-04-01,A6N-13N-62-S101^2021-04-01,2021-04-01,2022-01-01,,"<QuerySet [<Date_Value: 01-04-2021 $1100000 None^None>, <Date_Value: 01-04-2022 $1190000 None^None>]>"
A6N-13N-62-S102^2021-10-01,A6N-13N-62-S102^2021-10-01,2021-10-01,2022-01-01,,<QuerySet [<Date_Value: 01-10-2021 $940000 None^None>]>
A6N-13N-62-S103^2020-06-01,A6N-13N-62-S103^2020-06-01,2020-06-01,2022-01-01,2022-04-30,<QuerySet [<Date_Value: 01-06-2021 $790000 None^None>]>
A6N-13N-62-S103^2022-05-01,A6N-13N-62-S103^2022-05-01,2022-05-01,2022-05-01,,<QuerySet [<Date_Value: 01-05-2022 $840000 None^None>]>
A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,2021-08-01,2022-01-01,,"<QuerySet [<Date_Value: 01-08-2021 $840000 None^None>, <Date_Value: 01-08-2022 $890000 None^None>]>"
A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,2021-09-01,2022-01-01,,"<QuerySet [<Date_Value: 01-09-2021 $850000 None^None>, <Date_Value: 01-09-2022 $890000 None^None>]>"
A6N-13N-62-S108^2016-12-01,A6N-13N-62-S108^2016-12-01,2016-12-01,2022-01-01,,<QuerySet [<Date_Value: 01-12-2021 $638000 None^None>]>
A6N-13N-62-S109^2021-07-01,A6N-13N-62-S109^2021-07-01,2021-07-01,2022-01-01,,"<QuerySet [<Date_Value: 01-07-2021 $450000 None^None>, <Date_Value: 01-07-2022 $502000 None^None>]>"
A6N-13N-62-S110^2021-09-01,A6N-13N-62-S110^2021-09-01,2021-09-01,2022-01-01,,"<QuerySet [<Date_Value: 01-09-2021 $530000 None^None>, <Date_Value: 01-09-2022 $590000 None^None>]>"
A6N-13N-62-S111^2021-04-01,A6N-13N-62-S111^2021-04-01,2021-04-01,2022-01-01,2022-03-31,<QuerySet [<Date_Value: 01-04-2021 $700000 None^None>]>
