accountable_id,date,value,,,,,,,
A6N-13N-62-O1^2015-01-01,01/01/2022,,,A6N-13N-62-O1^2015-01-01,01/01/2022,1065000,,0,0
A6N-13N-62-S101^2021-04-01,01/04/2021,,,A6N-13N-62-S101^2021-04-01,01/04/2021,1100000,,0,0
A6N-13N-62-S101^2021-04-01,01/04/2022,,,A6N-13N-62-S101^2021-04-01,01/04/2022,1190000,,0,0
A6N-13N-62-S102^2021-10-01,01/10/2021,,,A6N-13N-62-S102^2021-10-01,01/10/2021,940000,,0,0
A6N-13N-62-S102^2021-10-01,01/10/2022,,,A6N-13N-62-S102^2021-10-01,01/10/2022,993000,1,0,0
A6N-13N-62-S103^2020-06-01,01/06/2021,,,A6N-13N-62-S103^2020-06-01,01/06/2021,790000,,0,0
A6N-13N-62-S103^2022-05-01,01/05/2022,,,A6N-13N-62-S103^2022-05-01,01/05/2022,840000,,0,0
A6N-13N-62-S104^2021-08-01,01/08/2021,,,A6N-13N-62-S104^2021-08-01,01/08/2021,840000,,0,0
A6N-13N-62-S104^2021-08-01,01/08/2022,,,A6N-13N-62-S104^2021-08-01,01/08/2022,890000,,0,0
A6N-13N-62-S105^2021-09-01,01/09/2021,,,A6N-13N-62-S105^2021-09-01,01/09/2021,850000,,0,0
A6N-13N-62-S105^2021-09-01,01/09/2022,,,A6N-13N-62-S105^2021-09-01,01/09/2022,890000,,0,0
A6N-13N-62-S108^2016-12-01,01/12/2021,,,A6N-13N-62-S108^2016-12-01,01/12/2021,638000,,0,0
A6N-13N-62-S109^2021-07-01,01/07/2021,,,A6N-13N-62-S109^2021-07-01,01/07/2021,450000,,0,0
A6N-13N-62-S109^2021-07-01,01/07/2022,,,A6N-13N-62-S109^2021-07-01,01/07/2022,502000,,0,0
A6N-13N-62-S110^2021-09-01,01/09/2021,,,A6N-13N-62-S110^2021-09-01,01/09/2021,530000,,0,0
A6N-13N-62-S110^2021-09-01,01/09/2022,,,A6N-13N-62-S110^2021-09-01,01/09/2022,590000,,0,0
A6N-13N-62-S111^2021-04-01,01/04/2021,,,A6N-13N-62-S111^2021-04-01,01/04/2021,700000,,0,0
A6N-13N-62-S111^2022-07-01,01/07/2022,,,A6N-13N-62-S111^2022-07-01,01/07/2022,650000,,0,0
,,,,A6N-13N-62-S111^2022-07-01,01/01/2023,700000,,1,1
A6N-13N-62-S112^2015-04-01,01/04/2021,,,A6N-13N-62-S112^2015-04-01,01/04/2021,560000,,0,0
A6N-13N-62-S112^2015-04-01,01/04/2022,,,A6N-13N-62-S112^2015-04-01,01/04/2022,605000,,0,0
A6N-13N-62-S114^2021-09-01,01/09/2021,,,A6N-13N-62-S114^2021-09-01,01/09/2021,530000,,0,0
A6N-13N-62-S114^2021-09-01,01/09/2022,,,A6N-13N-62-S114^2021-09-01,01/09/2022,590000,,0,0
A6N-13N-62-S201^2021-10-01,01/10/2021,,,A6N-13N-62-S201^2021-10-01,01/10/2021,830000,,0,0
A6N-13N-62-S201^2021-10-01,01/10/2022,,,A6N-13N-62-S201^2021-10-01,01/10/2022,,1,0,0
A6N-13N-62-S202^2021-10-01,01/10/2021,,,A6N-13N-62-S202^2021-10-01,01/10/2021,700000,,0,0
A6N-13N-62-S202^2021-10-01,01/10/2022,,,A6N-13N-62-S202^2021-10-01,01/10/2022,,1,0,0
A6N-13N-62-S203^2020-10-01,01/10/2021,,,A6N-13N-62-S203^2020-10-01,01/10/2021,620000,,0,0
A6N-13N-62-S203^2022-04-01,01/04/2022,,,A6N-13N-62-S203^2022-04-01,01/04/2022,700000,,0,0
A6N-13N-62-S204^2021-09-01,01/09/2021,,,A6N-13N-62-S204^2021-09-01,01/09/2021,650000,,0,0
A6N-13N-62-S204^2021-09-01,01/09/2022,,,A6N-13N-62-S204^2021-09-01,01/09/2022,720000,,0,0
A6N-13N-62-S205^2020-08-01,01/08/2021,,,A6N-13N-62-S205^2020-08-01,01/08/2021,750000,,0,0
A6N-13N-62-S205^2020-08-01,01/08/2022,,,A6N-13N-62-S205^2020-08-01,01/08/2022,830000,,0,0
A6N-13N-62-S207^2004-03-01,01/03/2021,,,A6N-13N-62-S207^2004-03-01,01/03/2021,485000,,0,0
A6N-13N-62-S207^2004-03-01,01/03/2022,,,A6N-13N-62-S207^2004-03-01,01/03/2022,497000,,0,0
A6N-13N-62-S208^2021-10-01,01/10/2021,,,A6N-13N-62-S208^2021-10-01,01/10/2021,390000,,0,0
A6N-13N-62-S208^2021-10-01,01/10/2022,,,A6N-13N-62-S208^2021-10-01,01/10/2022,415000,1,0,0
A6N-13N-62-S209^2006-03-21,21/03/2021,,,A6N-13N-62-S209^2006-03-21,21/03/2021,465000,,0,0
A6N-13N-62-S209^2006-03-21,21/03/2022,,,A6N-13N-62-S209^2006-03-21,21/03/2022,476000,,0,0
A6N-13N-62-S210^2017-03-20,20/03/2021,,,A6N-13N-62-S210^2017-03-20,20/03/2021,478000,,0,0
A6N-13N-62-S211^2017-03-08,08/03/2021,,,A6N-13N-62-S211^2017-03-08,08/03/2021,467000,,0,0
A6N-13N-62-S211^2017-03-08,08/03/2022,,,A6N-13N-62-S211^2017-03-08,08/03/2022,478000,,0,0
A6N-13N-62-S212^2011-09-01,01/09/2021,,,A6N-13N-62-S212^2011-09-01,01/09/2021,467000,,0,0
A6N-13N-62-S212^2011-09-01,01/09/2022,,,A6N-13N-62-S212^2011-09-01,01/09/2022,650000,,0,0
A6N-13N-62-S214^2018-10-01,01/10/2021,,,A6N-13N-62-S214^2018-10-01,01/10/2021,467000,,0,0
A6N-13N-62-S214^2018-10-01,01/10/2022,,,A6N-13N-62-S214^2018-10-01,01/10/2022,493000,1,0,0
A6N-13N-62-S217^2018-12-01,01/12/2020,,,A6N-13N-62-S217^2018-12-01,01/12/2020,472000,,0,0
A6N-13N-62-S217^2018-12-01,01/12/2021,,,A6N-13N-62-S217^2018-12-01,01/12/2021,496000,,0,0
A6N-13N-62-S219^2004-02-09,09/02/2021,,,A6N-13N-62-S219^2004-02-09,09/02/2021,468000,,0,0
A6N-13N-62-S219^2004-02-09,09/02/2022,,,A6N-13N-62-S219^2004-02-09,09/02/2022,480000,,0,0
A6N-13N-62-S221^2018-06-15,15/06/2021,,,A6N-13N-62-S221^2018-06-15,15/06/2021,342000,,0,0
A6N-13N-62-S221^2018-06-15,15/06/2022,,,A6N-13N-62-S221^2018-06-15,15/06/2022,370000,,0,0
A6N-13N-62-S222^2022-06-01,01/06/2022,,,A6N-13N-62-S222^2022-06-01,01/06/2022,570000,,0,0
A6N-13N-62-S301^2021-08-01,01/08/2021,,,A6N-13N-62-S301^2021-08-01,01/08/2021,830000,,0,0
A6N-13N-62-S302^2021-08-01,01/08/2021,,,A6N-13N-62-S302^2021-08-01,01/08/2021,700000,,0,0
A6N-13N-62-S302^2021-08-01,01/08/2022,,,A6N-13N-62-S302^2021-08-01,01/08/2022,780000,,0,0
A6N-13N-62-S303^2022-03-01,01/03/2022,,,A6N-13N-62-S303^2022-03-01,01/03/2022,700000,,0,0
A6N-13N-62-S304^2022-04-01,01/04/2022,,,A6N-13N-62-S304^2022-04-01,01/04/2022,700000,,0,0
A6N-13N-62-S305^2021-02-01,01/02/2021,,,A6N-13N-62-S305^2021-02-01,01/02/2021,750000,,0,0
A6N-13N-62-S305^2021-02-01,01/02/2022,,,A6N-13N-62-S305^2021-02-01,01/02/2022,785000,,0,0
A6N-13N-62-S306^2018-06-01,01/06/2021,,,A6N-13N-62-S306^2018-06-01,01/06/2021,458000,,0,0
A6N-13N-62-S306^2018-06-01,01/06/2022,,,A6N-13N-62-S306^2018-06-01,01/06/2022,458000,,0,0
A6N-13N-62-S308^2022-03-01,01/03/2022,,,A6N-13N-62-S308^2022-03-01,01/03/2022,390000,,0,0
A6N-13N-62-S308^2022-07-01,01/07/2022,,,A6N-13N-62-S308^2022-07-01,01/07/2022,390000,,0,0
A6N-13N-62-S309^2022-03-01,01/03/2022,,,A6N-13N-62-S309^2022-03-01,01/03/2022,390000,,0,0
A6N-13N-62-S310^2021-12-01,01/12/2021,,,A6N-13N-62-S310^2021-12-01,01/12/2021,390000,,0,0
A6N-13N-62-S310^2022-07-01,01/07/2022,,,A6N-13N-62-S310^2022-07-01,01/07/2022,390000,,0,0
A6N-13N-62-S311^2021-11-01,01/11/2021,,,A6N-13N-62-S311^2021-11-01,01/11/2021,390000,,0,0
A6N-13N-62-S312^2017-06-01,01/06/2021,,,A6N-13N-62-S312^2017-06-01,01/06/2021,490000,,0,0
A6N-13N-62-S312^2017-06-01,01/06/2022,,,A6N-13N-62-S312^2017-06-01,01/06/2022,530000,,0,0
A6N-13N-62-S314^2019-06-01,01/06/2021,,,A6N-13N-62-S314^2019-06-01,01/06/2021,455000,,0,0
A6N-13N-62-S314^2019-06-01,01/06/2022,,,A6N-13N-62-S314^2019-06-01,01/06/2022,500000,,0,0
A6N-13N-62-S315^2019-08-01,01/08/2021,,,A6N-13N-62-S315^2019-08-01,01/08/2021,310000,,0,0
A6N-13N-62-S317^2022-06-01,01/06/2022,,,A6N-13N-62-S317^2022-06-01,01/06/2022,390000,,0,0
A6N-13N-62-S318^2021-08-01,01/08/2021,,,A6N-13N-62-S318^2021-08-01,01/08/2021,290000,,0,0
A6N-13N-62-S318^2021-08-01,01/08/2022,,,A6N-13N-62-S318^2021-08-01,01/08/2022,323000,,0,0
A6N-13N-62-S319^2021-08-01,01/08/2021,,,A6N-13N-62-S319^2021-08-01,01/08/2021,470000,,0,0
A6N-13N-62-S319^2021-08-01,01/08/2022,,,A6N-13N-62-S319^2021-08-01,01/08/2022,524000,,0,0
A6N-13N-62-S321^1996-08-13,13/08/2021,,,A6N-13N-62-S321^1996-08-13,13/08/2021,347000,,0,0
A6N-13N-62-S321^1996-08-13,13/08/2022,,,A6N-13N-62-S321^1996-08-13,13/08/2022,372000,,0,0
A6N-13N-62-S322^2021-01-01,01/01/2022,,,A6N-13N-62-S322^2021-01-01,01/01/2022,480000,,0,0
A6N-13N-66^2019-04-01,01/04/2021,,,A6N-13N-66^2019-04-01,01/04/2021,730000,,0,0
A6N-13N-66^2019-04-01,01/04/2022,,,A6N-13N-66^2019-04-01,01/04/2022,790000,,0,0
A6N-13N-68^1999-02-01,01/02/2021,,,A6N-13N-68^1999-02-01,01/02/2021,2600000,,0,0
A6N-13N-68^1999-02-01,01/02/2022,,,A6N-13N-68^1999-02-01,01/02/2022,2720000,,0,0
