code,accountable_ptr_id,doc_date,start_date,end_date,pending_date_value_dates
A6N-13N-62-O1^2015-01-01,A6N-13N-62-O1^2015-01-01,2015-01-01,2022-01-01,,"{datetime.date(2022, 1, 1): 1065000, datetime.date(2022, 2, 1): 1065000, datetime.date(2022, 3, 1): 1065000, datetime.date(2022, 4, 1): 1065000, datetime.date(2022, 5, 1): 1065000, datetime.date(2022, 6, 1): 1065000, datetime.date(2022, 7, 1): 1065000, datetime.date(2022, 8, 1): 1065000, datetime.date(2022, 9, 1): 1065000, datetime.date(2022, 10, 1): 1065000}"
A6N-13N-62-S101^2021-04-01,A6N-13N-62-S101^2021-04-01,2021-04-01,2022-01-01,,"{datetime.date(2022, 1, 1): 1100000, datetime.date(2022, 2, 1): 1100000, datetime.date(2022, 3, 1): 1100000, datetime.date(2022, 4, 1): 1190000, datetime.date(2022, 5, 1): 1190000, datetime.date(2022, 6, 1): 1190000, datetime.date(2022, 7, 1): 1190000, datetime.date(2022, 8, 1): 1190000, datetime.date(2022, 9, 1): 1190000, datetime.date(2022, 10, 1): 1190000}"
A6N-13N-62-S102^2021-10-01,A6N-13N-62-S102^2021-10-01,2021-10-01,2022-01-01,,"{datetime.date(2022, 1, 1): 940000, datetime.date(2022, 2, 1): 940000, datetime.date(2022, 3, 1): 940000, datetime.date(2022, 4, 1): 940000, datetime.date(2022, 5, 1): 940000, datetime.date(2022, 6, 1): 940000, datetime.date(2022, 7, 1): 940000, datetime.date(2022, 8, 1): 940000, datetime.date(2022, 9, 1): 940000, datetime.date(2022, 10, 1): 993000}"
A6N-13N-62-S103^2020-06-01,A6N-13N-62-S103^2020-06-01,2020-06-01,2022-01-01,2022-04-30,"{datetime.date(2022, 1, 1): 790000, datetime.date(2022, 2, 1): 790000, datetime.date(2022, 3, 1): 790000, datetime.date(2022, 4, 1): 763667}"
A6N-13N-62-S103^2022-05-01,A6N-13N-62-S103^2022-05-01,2022-05-01,2022-05-01,,"{datetime.date(2022, 5, 1): 840000, datetime.date(2022, 6, 1): 840000, datetime.date(2022, 7, 1): 840000, datetime.date(2022, 8, 1): 840000, datetime.date(2022, 9, 1): 840000, datetime.date(2022, 10, 1): 840000}"
A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,2021-08-01,2022-01-01,,"{datetime.date(2022, 1, 1): 840000, datetime.date(2022, 2, 1): 840000, datetime.date(2022, 3, 1): 840000, datetime.date(2022, 4, 1): 840000, datetime.date(2022, 5, 1): 840000, datetime.date(2022, 6, 1): 840000, datetime.date(2022, 7, 1): 840000, datetime.date(2022, 8, 1): 890000, datetime.date(2022, 9, 1): 890000, datetime.date(2022, 10, 1): 890000}"
A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,2021-09-01,2022-01-01,,"{datetime.date(2022, 1, 1): 850000, datetime.date(2022, 2, 1): 850000, datetime.date(2022, 3, 1): 850000, datetime.date(2022, 4, 1): 850000, datetime.date(2022, 5, 1): 850000, datetime.date(2022, 6, 1): 850000, datetime.date(2022, 7, 1): 850000, datetime.date(2022, 8, 1): 850000, datetime.date(2022, 9, 1): 890000, datetime.date(2022, 10, 1): 890000}"
A6N-13N-62-S108^2016-12-01,A6N-13N-62-S108^2016-12-01,2016-12-01,2022-01-01,,"{datetime.date(2022, 1, 1): 638000, datetime.date(2022, 2, 1): 638000, datetime.date(2022, 3, 1): 638000, datetime.date(2022, 4, 1): 638000, datetime.date(2022, 5, 1): 638000, datetime.date(2022, 6, 1): 638000, datetime.date(2022, 7, 1): 638000, datetime.date(2022, 8, 1): 638000, datetime.date(2022, 9, 1): 638000, datetime.date(2022, 10, 1): 638000}"
A6N-13N-62-S109^2021-07-01,A6N-13N-62-S109^2021-07-01,2021-07-01,2022-01-01,,"{datetime.date(2022, 1, 1): 450000, datetime.date(2022, 2, 1): 450000, datetime.date(2022, 3, 1): 450000, datetime.date(2022, 4, 1): 450000, datetime.date(2022, 5, 1): 450000, datetime.date(2022, 6, 1): 450000, datetime.date(2022, 7, 1): 502000, datetime.date(2022, 8, 1): 502000, datetime.date(2022, 9, 1): 502000, datetime.date(2022, 10, 1): 502000}"
A6N-13N-62-S110^2021-09-01,A6N-13N-62-S110^2021-09-01,2021-09-01,2022-01-01,,"{datetime.date(2022, 1, 1): 530000, datetime.date(2022, 2, 1): 530000, datetime.date(2022, 3, 1): 530000, datetime.date(2022, 4, 1): 530000, datetime.date(2022, 5, 1): 530000, datetime.date(2022, 6, 1): 530000, datetime.date(2022, 7, 1): 530000, datetime.date(2022, 8, 1): 530000, datetime.date(2022, 9, 1): 590000, datetime.date(2022, 10, 1): 590000}"
A6N-13N-62-S111^2021-04-01,A6N-13N-62-S111^2021-04-01,2021-04-01,2022-01-01,2022-03-31,"{datetime.date(2022, 1, 1): 700000, datetime.date(2022, 2, 1): 700000, datetime.date(2022, 3, 1): 677419}"
A6N-13N-62-S111^2022-07-01,A6N-13N-62-S111^2022-07-01,2022-07-01,2022-06-25,,"{datetime.date(2022, 6, 25): 130000, datetime.date(2022, 7, 1): 650000, datetime.date(2022, 8, 1): 650000, datetime.date(2022, 9, 1): 650000, datetime.date(2022, 10, 1): 650000}"
A6N-13N-62-S112^2015-04-01,A6N-13N-62-S112^2015-04-01,2015-04-01,2022-01-01,,"{datetime.date(2022, 1, 1): 560000, datetime.date(2022, 2, 1): 560000, datetime.date(2022, 3, 1): 560000, datetime.date(2022, 4, 1): 605000, datetime.date(2022, 5, 1): 605000, datetime.date(2022, 6, 1): 605000, datetime.date(2022, 7, 1): 605000, datetime.date(2022, 8, 1): 605000, datetime.date(2022, 9, 1): 605000, datetime.date(2022, 10, 1): 605000}"
A6N-13N-62-S114^2021-09-01,A6N-13N-62-S114^2021-09-01,2021-09-01,2022-01-01,,"{datetime.date(2022, 1, 1): 530000, datetime.date(2022, 2, 1): 530000, datetime.date(2022, 3, 1): 530000, datetime.date(2022, 4, 1): 530000, datetime.date(2022, 5, 1): 530000, datetime.date(2022, 6, 1): 530000, datetime.date(2022, 7, 1): 530000, datetime.date(2022, 8, 1): 530000, datetime.date(2022, 9, 1): 590000, datetime.date(2022, 10, 1): 590000}"
A6N-13N-62-S201^2021-10-01,A6N-13N-62-S201^2021-10-01,2021-10-01,2022-01-01,,"{datetime.date(2022, 1, 1): 830000, datetime.date(2022, 2, 1): 830000, datetime.date(2022, 3, 1): 830000, datetime.date(2022, 4, 1): 830000, datetime.date(2022, 5, 1): 830000, datetime.date(2022, 6, 1): 830000, datetime.date(2022, 7, 1): 830000, datetime.date(2022, 8, 1): 830000, datetime.date(2022, 9, 1): 830000}"
A6N-13N-62-S202^2021-10-01,A6N-13N-62-S202^2021-10-01,2021-10-01,2022-01-01,,"{datetime.date(2022, 1, 1): 700000, datetime.date(2022, 2, 1): 700000, datetime.date(2022, 3, 1): 700000, datetime.date(2022, 4, 1): 700000, datetime.date(2022, 5, 1): 700000, datetime.date(2022, 6, 1): 700000, datetime.date(2022, 7, 1): 700000, datetime.date(2022, 8, 1): 700000, datetime.date(2022, 9, 1): 700000}"
A6N-13N-62-S203^2020-10-01,A6N-13N-62-S203^2020-10-01,2020-10-01,2022-01-01,2022-01-31,"{datetime.date(2022, 1, 1): 600000}"
A6N-13N-62-S203^2022-04-01,A6N-13N-62-S203^2022-04-01,2022-04-01,2022-04-01,,"{datetime.date(2022, 4, 1): 700000, datetime.date(2022, 5, 1): 700000, datetime.date(2022, 6, 1): 700000, datetime.date(2022, 7, 1): 700000, datetime.date(2022, 8, 1): 700000, datetime.date(2022, 9, 1): 700000, datetime.date(2022, 10, 1): 700000}"
A6N-13N-62-S204^2021-09-01,A6N-13N-62-S204^2021-09-01,2021-09-01,2022-01-01,,"{datetime.date(2022, 1, 1): 650000, datetime.date(2022, 2, 1): 650000, datetime.date(2022, 3, 1): 650000, datetime.date(2022, 4, 1): 650000, datetime.date(2022, 5, 1): 650000, datetime.date(2022, 6, 1): 650000, datetime.date(2022, 7, 1): 650000, datetime.date(2022, 8, 1): 650000, datetime.date(2022, 9, 1): 720000, datetime.date(2022, 10, 1): 720000}"
A6N-13N-62-S205^2020-08-01,A6N-13N-62-S205^2020-08-01,2020-08-01,2022-01-01,,"{datetime.date(2022, 1, 1): 750000, datetime.date(2022, 2, 1): 750000, datetime.date(2022, 3, 1): 750000, datetime.date(2022, 4, 1): 750000, datetime.date(2022, 5, 1): 750000, datetime.date(2022, 6, 1): 750000, datetime.date(2022, 7, 1): 750000, datetime.date(2022, 8, 1): 830000, datetime.date(2022, 9, 1): 830000, datetime.date(2022, 10, 1): 830000}"
A6N-13N-62-S207^2004-03-01,A6N-13N-62-S207^2004-03-01,2004-03-01,2022-01-01,2022-03-31,"{datetime.date(2022, 1, 1): 485000, datetime.date(2022, 2, 1): 485000, datetime.date(2022, 3, 1): 480968}"
A6N-13N-62-S208^2021-10-01,A6N-13N-62-S208^2021-10-01,2021-10-01,2022-01-01,,"{datetime.date(2022, 1, 1): 390000, datetime.date(2022, 2, 1): 390000, datetime.date(2022, 3, 1): 390000, datetime.date(2022, 4, 1): 390000, datetime.date(2022, 5, 1): 390000, datetime.date(2022, 6, 1): 390000, datetime.date(2022, 7, 1): 390000, datetime.date(2022, 8, 1): 390000, datetime.date(2022, 9, 1): 390000, datetime.date(2022, 10, 1): 415000}"
A6N-13N-62-S209^2006-03-21,A6N-13N-62-S209^2006-03-21,2006-03-21,2021-12-21,,"{datetime.date(2021, 12, 21): 465000, datetime.date(2022, 1, 21): 465000, datetime.date(2022, 2, 21): 465000, datetime.date(2022, 3, 21): 476000, datetime.date(2022, 4, 21): 476000, datetime.date(2022, 5, 21): 476000, datetime.date(2022, 6, 21): 476000, datetime.date(2022, 7, 21): 476000, datetime.date(2022, 8, 21): 476000, datetime.date(2022, 9, 21): 476000}"
A6N-13N-62-S210^2017-03-20,A6N-13N-62-S210^2017-03-20,2017-03-20,2021-12-20,2022-03-19,"{datetime.date(2021, 12, 20): 478000, datetime.date(2022, 1, 20): 478000, datetime.date(2022, 2, 20): 460929}"
A6N-13N-62-S211^2017-03-08,A6N-13N-62-S211^2017-03-08,2017-03-08,2022-01-08,,"{datetime.date(2022, 1, 8): 467000, datetime.date(2022, 2, 8): 467000, datetime.date(2022, 3, 8): 478000, datetime.date(2022, 4, 8): 478000, datetime.date(2022, 5, 8): 478000, datetime.date(2022, 6, 8): 478000, datetime.date(2022, 7, 8): 478000, datetime.date(2022, 8, 8): 478000, datetime.date(2022, 9, 8): 478000, datetime.date(2022, 10, 8): 478000}"
