lease,date,value,template
A6N-13N-62-O1^2015-01-01,2022-01-25,1065000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-O1^2015-01-01,2022-02-14,1065000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-O1^2015-01-01,2022-03-23,1065000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-O1^2015-01-01,2022-04-13,1065000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-O1^2015-01-01,2022-05-05,1065000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-O1^2015-01-01,2022-06-29,1065000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-O1^2015-01-01,2022-07-25,1065000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-O1^2015-01-01,2022-08-31,1065000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-O1^2015-01-01,2022-10-06,1065000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-O1^2015-01-01,2022-10-06,1065000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-01-18,800000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-01-25,750000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-01-26,200000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-01-28,850000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-02-14,700000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-02-22,1500000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-02-28,250000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-03-02,270000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-03-23,2000000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-03-31,720000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-04-22,2000000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-05-05,720000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-05-23,1800000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-06-03,920000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-06-29,1350000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-07-08,1370000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-07-25,2000000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-08-03,720000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-08-24,1000000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-08-26,1500000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-08-28,220000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-09-14,1000000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-09-20,1000000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-09-20,200000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-68^1999-02-01,2022-09-30,520000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-66^2019-04-01,2022-01-14,730000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-66^2019-04-01,2022-02-14,730000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-66^2019-04-01,2022-03-11,730000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-66^2019-04-01,2022-04-19,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-66^2019-04-01,2022-05-23,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-66^2019-04-01,2022-06-14,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-66^2019-04-01,2022-07-15,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-66^2019-04-01,2022-08-09,700000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-66^2019-04-01,2022-08-16,90000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-66^2019-04-01,2022-09-14,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S101^2021-04-01,2022-02-15,2200000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S101^2021-04-01,2022-03-25,1100000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S101^2021-04-01,2022-04-26,1190000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S101^2021-04-01,2022-06-01,1190000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S101^2021-04-01,2022-06-28,1190000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S101^2021-04-01,2022-07-27,1190000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S101^2021-04-01,2022-08-25,1190000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S101^2021-04-01,2022-09-15,1190000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S102^2021-10-01,2022-01-14,940000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S102^2021-10-01,2022-02-10,940000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S102^2021-10-01,2022-03-08,940000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S102^2021-10-01,2022-04-06,940000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S102^2021-10-01,2022-05-11,940000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S102^2021-10-01,2022-06-09,940000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S102^2021-10-01,2022-07-05,940000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S102^2021-10-01,2022-08-08,940000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S102^2021-10-01,2022-09-14,940000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S103^2020-06-01,2022-01-13,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S103^2020-06-01,2022-02-03,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S103^2020-06-01,2022-03-07,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S103^2020-06-01,2022-04-05,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S103^2022-05-01,2022-05-03,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S103^2022-05-01,2022-06-07,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S103^2022-05-01,2022-07-27,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S103^2022-05-01,2022-08-05,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S103^2022-05-01,2022-09-05,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
A6N-13N-62-S103^2022-05-01,2022-10-03,790000,RC^Arriendo Inmueble_Ingreso Arriendo sin IVA
