class,estate,type,date,value
Estate_Appraisal,760010100020700370004000000004,0,2022-01-01,2228713000
Estate_Appraisal,760010100031300020001000000001,0,2022-01-01,1493265000
Estate_Appraisal,760010100040200230001000000001,0,2022-01-01,3183080000
Estate_Appraisal,760010100040200230002000000002,0,2022-01-01,883984000
Estate_Appraisal,760010100040200230003000000003,0,2022-01-01,305800000
Estate_Appraisal,760010100040200230004000000004,0,2022-01-01,305800000
Estate_Appraisal,760010100040200230005000000005,0,2022-01-01,305800000
Estate_Appraisal,760010100040200230006000000006,0,2022-01-01,207944000
Estate_Appraisal,760010100040100050006000000006,0,2022-01-01,209941000
Estate_Appraisal,760010100041700100010000000010,0,2022-01-01,730092000
Estate_Appraisal,760010100020500040007900030133,0,2022-01-01,457624000
Estate_Appraisal,760010100020500040007900030058,0,2022-01-01,7952000
Estate_Appraisal,760010100020500040007900030059,0,2022-01-01,7952000
Estate_Appraisal,760010100020500040007900030091,0,2022-01-01,7952000
Estate_Appraisal,760010100020500040007900030126,0,2022-01-01,3446000
Estate_Appraisal,760010100020300030004900020037,0,2022-01-01,401599000
Estate_Appraisal,760010100020300030004900020032,0,2022-01-01,13915000
