class,national_number,address,total_area,,
Estate,760010100020700370004000000004,A6N-13N-62,2107,,
Estate,760010100031300020001000000001,C18-1N-39,2398,,
Estate,760010100040200230001000000001,K2C-30-3,7164,,
Estate,760010100040200230002000000002,K1B-30-76,1135,,
Estate,760010100040200230003000000003,C31-1B-34,441,,
Estate,760010100040200230004000000004,C31-1B-54,362,,
Estate,760010100040200230005000000005,C31-1B-64,375,,
Estate,760010100040200230006000000006,K2C-30-29,306,,
Estate,760010100040100050006000000006,K2C-29-36,303,,
Estate,760010100041700100010000000010,K1-35-29,1077,,
Estate,760010100020500040007900030133,A11N-7N-201-A103,246,,
Estate,760010100020500040007900030058,A11N-7N-201-P28,-9999,,
Estate,760010100020500040007900030059,A11N-7N-201-P29,-9999,,
Estate,760010100020500040007900030091,A11N-7N-201-P61,-9999,,
Estate,760010100020500040007900030126,A11N-7N-201-D22,-9999,,
Estate,760010100020300030004900020037,C3O-2-140-A301,-9999,,
Estate,760010100020300030004900020032,C3O-2-136-P14,-9999,,
