,id,state_change_user_id,state_change_date,state,lease_id,realty_id,primary
0,7,1,2022-04-18 14:51:26.225436+00:00,1,C18-1N-41^2021-02-01,C18-1N-41,TRUE
1,8,1,2022-04-18 14:57:30.740307+00:00,1,K1-17-43^2017-07-15,K1-17-43,TRUE
2,9,1,2022-04-18 15:07:59.560558+00:00,1,K1-17-37^2012-02-01,K1-17-37,TRUE
3,10,1,2022-04-18 16:11:12.455134+00:00,1,C18-1N-39^2022-03-01,C18-1N-39,TRUE
4,11,1,2022-04-18 16:22:51.351195+00:00,1,C18-1N-33^2021-10-01,C18-1N-33,TRUE
5,12,1,2022-04-18 16:51:31.924204+00:00,1,K1-17-53^2017-06-01,K1-17-53,TRUE
6,13,1,2022-04-18 17:46:55.289771+00:00,1,K1-17-57^2001-09-01,K1-17-57,TRUE
7,14,1,2022-04-18 20:19:12.715985+00:00,1,K1-17-47^2021-10-01,K1-17-47,TRUE
8,15,1,2022-04-18 21:43:32.360769+00:00,1,C31-1B-74^2012-12-07,C31-1B-74,TRUE
9,16,1,2022-04-18 21:54:59.204594+00:00,1,C31-1B-64^2018-12-01,C31-1B-64,TRUE
10,17,1,2022-04-19 18:34:13.122815+00:00,1,C31-1B-24^2016-02-15,C31-1B-24,TRUE
11,18,1,2022-04-19 18:37:27.002609+00:00,1,C31-1B-54^2016-02-15,C31-1B-54,TRUE
12,19,1,2022-04-19 19:27:09.145103+00:00,1,C31-1B-44^2013-12-03,C31-1B-44,TRUE
13,20,1,2022-04-19 19:36:38.910929+00:00,1,C31-1B-4^2009-01-01,C31-1B-4,TRUE
14,21,1,2022-04-21 18:11:06.142252+00:00,1,K2C-30-15-B2^2019-07-01,K2C-30-15-B2,TRUE
15,22,1,2022-04-21 19:44:26.122734+00:00,1,C31-1B-34^2004-08-01,C31-1B-34,TRUE
16,23,1,2022-04-21 20:07:55.943328+00:00,1,C31-1B-24^2018-05-01,C31-1B-24,TRUE
17,24,1,2022-04-22 15:30:48.538803+00:00,1,K1B-30-52^1970-01-01,K1B-30-52,TRUE
18,25,1,2022-04-22 15:33:05.960428+00:00,1,K1B-30-52^2018-05-01,K1B-30-52,TRUE
19,26,1,2022-04-22 16:05:20.953116+00:00,1,K2C-30-29^2019-11-01,K2C-30-29,TRUE
20,27,1,2022-04-22 16:26:28.429768+00:00,1,K2C-30-27^2020-10-01,K2C-30-27,TRUE
21,28,1,2022-04-22 18:18:53.802777+00:00,1,C30-1B-31^2019-11-01,C30-1B-31,TRUE
22,29,1,2022-04-22 20:22:47.734571+00:00,1,C30-1B-27^2014-09-01,C30-1B-27,TRUE
23,30,1,2022-04-22 20:54:38.295991+00:00,1,C30-1B-15-B3^2017-10-01,C30-1B-15-B3,TRUE
24,31,1,2022-04-25 14:47:53.844770+00:00,1,C30-1B-15-B2^2013-04-15,C30-1B-15-B2,TRUE
25,32,1,2022-04-25 15:30:19.565193+00:00,1,C30-1B-15-B1^2020-11-01,C30-1B-15-B1,TRUE
26,33,1,2022-04-25 15:40:06.630141+00:00,1,K2C-30-51^2021-12-01,K2C-30-51,TRUE
27,34,1,2022-04-25 16:35:29.047062+00:00,1,C30-1B-15-B5^2019-04-01,C30-1B-15-B5,TRUE
28,35,1,2022-04-25 17:01:03.510598+00:00,1,K1B-30-16^2006-05-10,K1B-30-16,TRUE
29,36,1,2022-04-25 20:43:51.198296+00:00,1,K1B-30-34^2013-09-01,K1B-30-34,TRUE
30,37,1,2022-04-26 15:55:05.684440+00:00,1,K1-35-29-B11^2020-08-01,K1-35-29-B11,TRUE
31,38,1,2022-04-26 18:24:51.422078+00:00,1,K1-35-29-B9^2021-09-01,K1-35-29-B9,TRUE
32,39,1,2022-04-26 18:42:59.135674+00:00,1,C30-1B-13^2017-05-01,C30-1B-13,TRUE
33,40,1,2022-04-26 20:20:54.908714+00:00,1,K2C-29-36^2017-04-01,K2C-29-36,TRUE
34,41,1,2022-04-26 20:41:00.562109+00:00,1,A6N-13N-66^2019-04-01,A6N-13N-66,TRUE
35,42,1,2022-04-26 20:49:10.123559+00:00,1,A6N-13N-68^1999-01-01,A6N-13N-68,TRUE
