,id,state_change_user_id,state_change_date,state,realty_id,estate_id,percentage
0,1,1,2022-04-28 22:01:35.399072+00:00,1,A6N-13N-62-O1,760010100020700370004000000004,100.0000
1,2,1,2022-04-28 22:01:35.403713+00:00,1,A6N-13N-62-S101,760010100020700370004000000004,100.0000
2,3,1,2022-04-28 22:01:35.408072+00:00,1,A6N-13N-62-S102,760010100020700370004000000004,100.0000
3,4,1,2022-04-28 22:01:35.412743+00:00,1,A6N-13N-62-S103,760010100020700370004000000004,100.0000
4,5,1,2022-04-28 22:01:35.417507+00:00,1,A6N-13N-62-S104,760010100020700370004000000004,100.0000
5,6,1,2022-04-28 22:01:35.421975+00:00,1,A6N-13N-62-S105,760010100020700370004000000004,100.0000
6,7,1,2022-04-28 22:01:35.426140+00:00,1,A6N-13N-62-S106,760010100020700370004000000004,100.0000
7,8,1,2022-04-28 22:01:35.430974+00:00,1,A6N-13N-62-S107,760010100020700370004000000004,100.0000
8,9,1,2022-04-28 22:01:35.435493+00:00,1,A6N-13N-62-S108,760010100020700370004000000004,100.0000
9,10,1,2022-04-28 22:01:35.440078+00:00,1,A6N-13N-62-S109,760010100020700370004000000004,100.0000
10,11,1,2022-04-28 22:01:35.444385+00:00,1,A6N-13N-62-S110,760010100020700370004000000004,100.0000
11,12,1,2022-04-28 22:01:35.449226+00:00,1,A6N-13N-62-S111,760010100020700370004000000004,100.0000
12,13,1,2022-04-28 22:01:35.453780+00:00,1,A6N-13N-62-S112,760010100020700370004000000004,100.0000
13,14,1,2022-04-28 22:01:35.458170+00:00,1,A6N-13N-62-S114,760010100020700370004000000004,100.0000
14,15,1,2022-04-28 22:01:35.462513+00:00,1,A6N-13N-62-S201,760010100020700370004000000004,100.0000
15,16,1,2022-04-28 22:01:35.467044+00:00,1,A6N-13N-62-S202,760010100020700370004000000004,100.0000
16,17,1,2022-04-28 22:01:35.471233+00:00,1,A6N-13N-62-S203,760010100020700370004000000004,100.0000
17,18,1,2022-04-28 22:01:35.475320+00:00,1,A6N-13N-62-S204,760010100020700370004000000004,100.0000
18,19,1,2022-04-28 22:01:35.479482+00:00,1,A6N-13N-62-S205,760010100020700370004000000004,100.0000
19,20,1,2022-04-28 22:01:35.483590+00:00,1,A6N-13N-62-S206,760010100020700370004000000004,100.0000
20,21,1,2022-04-28 22:01:35.488247+00:00,1,A6N-13N-62-S207,760010100020700370004000000004,100.0000
21,22,1,2022-04-28 22:01:35.492553+00:00,1,A6N-13N-62-S208,760010100020700370004000000004,100.0000
22,23,1,2022-04-28 22:01:35.496894+00:00,1,A6N-13N-62-S209,760010100020700370004000000004,100.0000
23,24,1,2022-04-28 22:01:35.501318+00:00,1,A6N-13N-62-S210,760010100020700370004000000004,100.0000
24,25,1,2022-04-28 22:01:35.506129+00:00,1,A6N-13N-62-S211,760010100020700370004000000004,100.0000
25,26,1,2022-04-28 22:01:35.510920+00:00,1,A6N-13N-62-S212,760010100020700370004000000004,100.0000
26,27,1,2022-04-28 22:01:35.515270+00:00,1,A6N-13N-62-S214,760010100020700370004000000004,100.0000
27,28,1,2022-04-28 22:01:35.519567+00:00,1,A6N-13N-62-S215,760010100020700370004000000004,100.0000
28,29,1,2022-04-28 22:01:35.523841+00:00,1,A6N-13N-62-S216,760010100020700370004000000004,100.0000
29,30,1,2022-04-28 22:01:35.528133+00:00,1,A6N-13N-62-S217,760010100020700370004000000004,100.0000
30,31,1,2022-04-28 22:01:35.532422+00:00,1,A6N-13N-62-S218,760010100020700370004000000004,100.0000
31,32,1,2022-04-28 22:01:35.536917+00:00,1,A6N-13N-62-S219,760010100020700370004000000004,100.0000
