,id,app_label,model
0,1,admin,logentry
1,2,auth,permission
2,3,auth,group
3,4,auth,user
4,5,contenttypes,contenttype
5,6,sessions,session
6,7,people,person
7,8,people,person_legal
8,9,people,person_natural
9,10,people,person_phone
10,11,people,person_legal_person_natural
11,12,people,person_e_mail
12,13,people,person_address
13,14,references,transaction_type
14,15,references,puc
15,16,references,phone
16,17,references,e_mail
17,18,references,address
18,19,properties,estate
19,20,properties,realty
20,21,properties,realty_estate
21,22,properties,estate_person
22,23,properties,estate_appraisal
23,24,accounting,account
24,25,accounting,ledger_type
25,26,accounting,ledger
26,27,accounting,charge_concept
27,28,accounting,charge
28,29,accountables,accountable
29,30,accountables,lease_realty
30,31,accountables,date_value
31,32,accountables,lease_realty_realty
32,33,accountables,lease_realty_person
33,34,references,charge_factor
34,35,references,factor_data
35,36,accounting,ledger_template
36,37,accounting,charge_template
