,id,name,content_type_id,codename
0,123,Can add Contabilizable,29,add_accountable
1,124,Can change Contabilizable,29,change_accountable
2,125,Can delete Contabilizable,29,delete_accountable
3,126,Can view Contabilizable,29,view_accountable
4,132,Can add Fecha Valor,31,add_date_value
5,133,Can change Fecha Valor,31,change_date_value
6,134,Can delete Fecha Valor,31,delete_date_value
7,135,Can view Fecha Valor,31,view_date_value
8,131,Can activate lease realty.,30,activate_lease_realty
9,127,Can add Arriendo Inmueble,30,add_lease_realty
10,128,Can change Arriendo Inmueble,30,change_lease_realty
11,129,Can delete Arriendo Inmueble,30,delete_lease_realty
12,130,Can view Arriendo Inmueble,30,view_lease_realty
13,140,Can add Parte Arriendo Inmueble,33,add_lease_realty_person
14,141,Can change Parte Arriendo Inmueble,33,change_lease_realty_person
15,142,Can delete Parte Arriendo Inmueble,33,delete_lease_realty_person
16,143,Can view Parte Arriendo Inmueble,33,view_lease_realty_person
17,136,Can add Inmueble Arriendo Inmueble,32,add_lease_realty_realty
18,137,Can change Inmueble Arriendo Inmueble,32,change_lease_realty_realty
19,138,Can delete Inmueble Arriendo Inmueble,32,delete_lease_realty_realty
20,139,Can view Inmueble Arriendo Inmueble,32,view_lease_realty_realty
21,104,Can activate account.,24,activate_account
22,100,Can add Cuenta,24,add_account
23,101,Can change Cuenta,24,change_account
24,102,Can delete Cuenta,24,delete_account
25,103,Can view Cuenta,24,view_account
26,122,Can activate charge.,28,activate_charge
27,118,Can add Movimiento,28,add_charge
28,119,Can change Movimiento,28,change_charge
29,120,Can delete Movimiento,28,delete_charge
30,121,Can view Movimiento,28,view_charge
31,114,Can add Concepto Movimiento,27,add_charge_concept
32,115,Can change Concepto Movimiento,27,change_charge_concept
33,116,Can delete Concepto Movimiento,27,delete_charge_concept
34,117,Can view Concepto Movimiento,27,view_charge_concept
35,157,Can add Formato Movimiento,37,add_charge_template
36,158,Can change Formato Movimiento,37,change_charge_template
37,159,Can delete Formato Movimiento,37,delete_charge_template
38,160,Can view Formato Movimiento,37,view_charge_template
39,113,Can activate ledger.,26,activate_ledger
40,109,Can add Registro,26,add_ledger
41,110,Can change Registro,26,change_ledger
42,111,Can delete Registro,26,delete_ledger
43,112,Can view Registro,26,view_ledger
