,id,action_time,user_id,content_type_id,object_id,object_repr,action_flag,change_message
0,226,2022-04-11 18:07:37.001374+00:00,1,29,A6N-13N-62-S101^2022-01-01,A6N-13N-62-S101^2022-01-01,3,
1,225,2022-04-11 18:07:36.989829+00:00,1,29,A6N-13N-62-S110^2022-01-30,A6N-13N-62-S110^2022-01-30,3,
2,224,2022-04-11 18:07:36.972245+00:00,1,29,C18-1N-33^2022-01-01,C18-1N-33^2022-01-01,3,
3,223,2022-04-11 18:07:36.961641+00:00,1,29,C31-1B-64^2022-01-15,C31-1B-64^2022-01-15,3,
4,222,2022-04-11 18:07:36.944714+00:00,1,29,K1B-30-16^2022-01-31,K1B-30-16^2022-01-31,3,
5,221,2022-04-11 18:07:36.924331+00:00,1,29,K2C-30-15-B3^2022-01-01,K2C-30-15-B3^2022-01-01,3,
6,220,2022-04-11 18:07:28.309371+00:00,1,27,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,3,
7,219,2022-04-11 18:07:28.296794+00:00,1,27,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,3,
8,218,2022-04-11 18:07:28.285886+00:00,1,27,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,3,
9,217,2022-04-11 18:07:28.274987+00:00,1,27,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,3,
10,216,2022-04-11 18:07:28.263541+00:00,1,27,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,3,
11,215,2022-04-11 18:07:28.253014+00:00,1,27,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,3,
12,214,2022-04-11 18:07:28.242494+00:00,1,27,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,3,
13,213,2022-04-11 18:07:28.232126+00:00,1,27,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30,3,
14,212,2022-04-11 18:07:28.220522+00:00,1,27,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,3,
15,211,2022-04-11 18:07:28.208525+00:00,1,27,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30,3,
16,210,2022-04-11 18:07:28.191093+00:00,1,27,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,3,
17,209,2022-04-11 18:07:28.180536+00:00,1,27,Mensualidad Arriendo Inmueble^2022-03-01_C18-1N-33^2022-01-01,Mensualidad Arriendo Inmueble^2022-03-01_C18-1N-33^2022-01-01,3,
18,208,2022-04-11 18:07:28.170118+00:00,1,27,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,3,
19,207,2022-04-11 18:07:28.154897+00:00,1,27,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,3,
20,206,2022-04-11 18:06:53.258296+00:00,1,31,1,01-01-2022 $1500000 K2C-30-15-B3^2022-01-01,3,
21,205,2022-04-11 18:06:53.240607+00:00,1,31,2,15-01-2022 $2000000 C31-1B-64^2022-01-15,3,
22,204,2022-04-11 18:06:53.223649+00:00,1,31,3,31-01-2022 $3000000 K1B-30-16^2022-01-31,3,
23,203,2022-04-11 18:06:53.213099+00:00,1,31,4,01-01-2022 $1000000 C18-1N-33^2022-01-01,3,
24,202,2022-04-11 18:06:53.202879+00:00,1,31,5,30-01-2022 $500000 A6N-13N-62-S110^2022-01-30,3,
25,201,2022-04-11 18:06:53.185531+00:00,1,31,6,01-01-2022 $500000 A6N-13N-62-S101^2022-01-01,3,
26,200,2022-04-11 18:06:48.009240+00:00,1,32,1,K2C-30-15-B3^2022-01-01_K2C-30-15-B3,3,
27,199,2022-04-11 18:06:47.999355+00:00,1,32,2,C31-1B-64^2022-01-15_C31-1B-64,3,
28,198,2022-04-11 18:06:47.987654+00:00,1,32,3,K1B-30-16^2022-01-31_K1B-30-16,3,
29,197,2022-04-11 18:06:47.977977+00:00,1,32,4,C18-1N-33^2022-01-01_C18-1N-33,3,
30,196,2022-04-11 18:06:47.967376+00:00,1,32,5,A6N-13N-62-S110^2022-01-30_A6N-13N-62-S110,3,
31,195,2022-04-11 18:06:47.954616+00:00,1,32,6,A6N-13N-62-S101^2022-01-01_A6N-13N-62-S101,3,
32,194,2022-04-11 18:06:33.029898+00:00,1,33,1,"K2C-30-15-B3^2022-01-01_Corkidi Tzuckerman, León",3,
33,193,2022-04-11 18:06:33.018207+00:00,1,33,2,K2C-30-15-B3^2022-01-01_Actividades Textiles S.A.S.,3,
34,192,2022-04-11 18:06:33.007037+00:00,1,33,3,"K2C-30-15-B3^2022-01-01_Delgado Quintero, Patricia",3,
35,191,2022-04-11 18:06:32.995103+00:00,1,33,4,"C31-1B-64^2022-01-15_Corkidi Tzuckerman, León",3,
36,190,2022-04-11 18:06:32.983599+00:00,1,33,5,C31-1B-64^2022-01-15_Asoboce S.A.S.,3,
37,189,2022-04-11 18:06:32.971350+00:00,1,33,6,"C31-1B-64^2022-01-15_Nieto Molina, Aldenovan",3,
38,188,2022-04-11 18:06:32.960196+00:00,1,33,7,"K1B-30-16^2022-01-31_Corkidi Tzuckerman, León",3,
39,187,2022-04-11 18:06:32.948012+00:00,1,33,8,K1B-30-16^2022-01-31_Granos y Proteinas S.A.S.,3,
40,186,2022-04-11 18:06:32.923423+00:00,1,33,9,"K1B-30-16^2022-01-31_Maya Osorio, Carlos Alberto",3,
41,185,2022-04-11 18:06:32.898824+00:00,1,33,10,"C18-1N-33^2022-01-01_Corkidi Tzuckerman, León",3,
42,184,2022-04-11 18:06:32.888738+00:00,1,33,11,C18-1N-33^2022-01-01_Productos de Caucho y Lona S.A.S.,3,
43,183,2022-04-11 18:06:32.877345+00:00,1,33,12,"C18-1N-33^2022-01-01_Jaramillo Mejia, Gustavo Alberto",3,
44,182,2022-04-11 18:06:32.854196+00:00,1,33,13,"A6N-13N-62-S110^2022-01-30_Corkidi Tzuckerman, León",3,
45,181,2022-04-11 18:06:32.842643+00:00,1,33,14,"A6N-13N-62-S110^2022-01-30_Nuñez Florez, Pedro",3,
46,180,2022-04-11 18:06:32.825001+00:00,1,33,15,"A6N-13N-62-S110^2022-01-30_Castañeda Anacona, Paola Alexandra",3,
47,179,2022-04-11 18:06:20.824291+00:00,1,26,FV-00000001,FV-00000001^2022-01-01_Actividades Textiles S.A.S.,3,
48,178,2022-04-11 18:06:20.813922+00:00,1,26,FV-00000002,FV-00000002^2022-01-10_Productos de Caucho y Lona S.A.S.,3,
49,177,2022-04-11 18:06:20.802860+00:00,1,26,FV-00000003,FV-00000003^2022-01-15_Asoboce S.A.S.,3,
50,176,2022-04-11 18:06:20.785181+00:00,1,26,FV-00000004,FV-00000004^2022-01-15_Granos y Proteinas S.A.S.,3,
51,175,2022-04-11 18:06:20.765877+00:00,1,26,FV-00000005,FV-00000005^2022-01-31_Granos y Proteinas S.A.S.,3,
52,174,2022-04-11 18:06:20.747567+00:00,1,26,FV-00000006,FV-00000006^2022-02-01_Actividades Textiles S.A.S.,3,
53,173,2022-04-11 18:06:20.727806+00:00,1,26,FV-00000007,FV-00000007^2022-02-01_Productos de Caucho y Lona S.A.S.,3,
54,172,2022-04-11 18:06:20.716449+00:00,1,26,FV-00000008,"FV-00000008^2022-02-05_Nuñez Florez, Pedro",3,
55,171,2022-04-11 18:06:20.704625+00:00,1,26,FV-00000009,FV-00000009^2022-02-15_Asoboce S.A.S.,3,
56,170,2022-04-11 18:06:20.693989+00:00,1,26,FV-00000010,FV-00000010^2022-02-28_Granos y Proteinas S.A.S.,3,
57,169,2022-04-11 18:06:20.683603+00:00,1,26,FV-00000011,"FV-00000011^2022-02-28_Nuñez Florez, Pedro",3,
58,168,2022-04-11 18:06:20.672826+00:00,1,26,FV-00000012,FV-00000012^2022-03-01_Actividades Textiles S.A.S.,3,
59,167,2022-04-11 18:06:20.661446+00:00,1,26,FV-00000013,FV-00000013^2022-03-01_Productos de Caucho y Lona S.A.S.,3,
60,166,2022-04-11 18:06:20.649739+00:00,1,26,FV-00000014,FV-00000014^2022-03-15_Asoboce S.A.S.,3,
61,165,2022-04-11 18:06:20.639678+00:00,1,26,RC-00000001,RC-00000001^2022-01-10_Actividades Textiles S.A.S.,3,
62,164,2022-04-11 18:06:20.627115+00:00,1,26,RC-00000002,RC-00000002^2022-01-20_Asoboce S.A.S.,3,
63,163,2022-04-11 18:06:20.615846+00:00,1,26,RC-00000003,RC-00000003^2022-01-20_Granos y Proteinas S.A.S.,3,
64,162,2022-04-11 18:06:20.603229+00:00,1,26,RC-00000004,RC-00000004^2022-01-25_Actividades Textiles S.A.S.,3,
65,161,2022-04-11 18:06:20.592796+00:00,1,26,RC-00000005,RC-00000005^2022-02-05_Granos y Proteinas S.A.S.,3,
66,160,2022-04-11 18:06:20.581517+00:00,1,26,RC-00000006,RC-00000006^2022-02-10_Productos de Caucho y Lona S.A.S.,3,
67,159,2022-04-11 18:06:20.571016+00:00,1,26,RC-00000007,"RC-00000007^2022-02-10_Nuñez Florez, Pedro",3,
68,158,2022-04-11 18:06:20.560430+00:00,1,26,RC-00000008,RC-00000008^2022-02-20_Actividades Textiles S.A.S.,3,
69,157,2022-04-11 18:06:20.549039+00:00,1,26,RC-00000009,RC-00000009^2022-02-20_Asoboce S.A.S.,3,
70,156,2022-04-11 18:06:20.538333+00:00,1,26,RC-00000010,RC-00000010^2022-03-05_Granos y Proteinas S.A.S.,3,
71,155,2022-04-11 18:06:20.526946+00:00,1,26,RC-00000011,RC-00000011^2022-03-10_Actividades Textiles S.A.S.,3,
72,154,2022-04-11 18:06:20.516071+00:00,1,26,RC-00000012,"RC-00000012^2022-03-10_Nuñez Florez, Pedro",3,
73,153,2022-04-11 18:06:20.502790+00:00,1,26,RC-00000013,RC-00000013^2022-03-15_Productos de Caucho y Lona S.A.S.,3,
74,152,2022-04-11 18:06:20.482567+00:00,1,26,RC-00000014,RC-00000014^2022-03-20_Asoboce S.A.S.,3,
