,id,state_change_user_id,state_change_date,state,accountable_id,date,value
0,7,1,2022-04-18 14:19:53.530733+00:00,1,C18-1N-41^2021-02-01,2021-02-01,2900000
1,8,1,2022-04-18 14:57:30.757870+00:00,1,K1-17-43^2017-07-15,2017-07-15,1717000
2,9,1,2022-04-18 15:07:59.578392+00:00,1,K1-17-37^2012-02-01,2012-02-01,1520000
3,10,1,2022-04-18 16:11:12.466409+00:00,1,C18-1N-39^2022-03-01,2022-03-01,1000000
4,11,1,2022-04-18 16:22:51.362640+00:00,1,C18-1N-33^2021-10-01,2021-10-01,950000
5,12,1,2022-04-18 16:51:31.935385+00:00,1,K1-17-53^2017-06-01,2017-06-01,1785000
6,13,1,2022-04-18 17:46:55.307658+00:00,1,K1-17-57^2001-09-01,2001-09-01,2450000
7,14,1,2022-04-18 19:58:03.970179+00:00,1,K1-17-47^2021-10-01,2021-10-01,1800000
8,15,1,2022-04-18 21:43:32.372114+00:00,1,C31-1B-74^2012-12-07,2012-12-07,3766000
9,16,1,2022-04-18 21:54:59.215624+00:00,1,C31-1B-64^2018-12-01,2018-12-01,3800000
10,17,1,2022-04-19 18:34:13.145998+00:00,1,C31-1B-24^2016-02-15,2016-02-15,3620000
11,18,1,2022-04-19 18:37:27.013372+00:00,1,C31-1B-54^2016-02-15,2016-02-15,3620000
12,19,1,2022-04-19 19:27:09.163127+00:00,1,C31-1B-44^2013-12-03,2013-12-03,3850000
13,20,1,2022-04-19 19:36:38.928038+00:00,1,C31-1B-4^2009-01-01,2009-01-01,8427658
14,21,1,2022-04-21 18:11:06.154231+00:00,1,K2C-30-15-B2^2019-07-01,2019-07-01,5500000
15,22,1,2022-04-21 19:44:26.140293+00:00,1,C31-1B-34^2004-08-01,2004-08-01,5450000
16,23,1,2022-04-21 20:07:55.954743+00:00,1,C31-1B-24^2018-05-01,2018-05-01,4274000
17,24,1,2022-04-21 21:36:21.141070+00:00,1,K1B-30-52^1970-01-01,1970-01-01,2337000
18,25,1,2022-04-22 15:33:05.971169+00:00,1,K1B-30-52^2018-05-01,2018-05-01,2337000
19,26,1,2022-04-22 16:05:20.964448+00:00,1,K2C-30-29^2019-11-01,2019-11-01,5950000
20,27,1,2022-04-22 16:26:28.440942+00:00,1,K2C-30-27^2020-10-01,2020-10-01,4100000
21,28,1,2022-04-22 18:18:53.813474+00:00,1,C30-1B-31^2019-11-01,2019-11-01,4220000
22,29,1,2022-04-22 20:21:33.593494+00:00,1,C30-1B-27^2014-09-01,2014-09-01,4275000
23,30,1,2022-04-22 20:54:38.319738+00:00,1,C30-1B-15-B3^2017-10-01,2017-10-01,670000
24,31,1,2022-04-25 14:47:53.856482+00:00,1,C30-1B-15-B2^2013-04-15,2013-04-15,910000
25,32,1,2022-04-25 15:30:19.576772+00:00,1,C30-1B-15-B1^2020-11-01,2020-11-01,650000
26,33,1,2022-04-25 15:40:06.641143+00:00,1,K2C-30-51^2021-12-01,2021-12-01,2500000
27,34,1,2022-04-25 16:35:29.058654+00:00,1,C30-1B-15-B5^2019-04-01,2019-04-01,650000
28,35,1,2022-04-25 17:01:03.522461+00:00,1,K1B-30-16^2006-05-10,2006-05-10,4390000
29,36,1,2022-04-25 20:43:51.210436+00:00,1,K1B-30-34^2013-09-01,2013-09-01,6600000
30,37,1,2022-04-26 15:55:05.694584+00:00,1,K1-35-29-B11^2020-08-01,2020-08-01,4700000
31,38,1,2022-04-26 18:24:51.439412+00:00,1,K1-35-29-B9^2021-09-01,2021-09-01,4500000
32,39,1,2022-04-26 18:42:59.146239+00:00,1,C30-1B-13^2017-05-01,2017-05-01,760000
33,40,1,2022-04-26 20:20:54.926001+00:00,1,K2C-29-36^2017-04-01,2017-04-01,3010000
34,41,1,2022-04-26 20:41:00.573137+00:00,1,A6N-13N-66^2019-04-01,2019-04-01,730000
35,42,1,2022-04-26 20:49:10.134627+00:00,1,A6N-13N-68^1999-01-01,1999-01-01,2600000
36,43,1,2022-04-26 21:17:13.521246+00:00,1,A6N-13N-62-S101^2021-04-01,2021-04-01,1100000
37,44,1,2022-04-27 18:09:23.760010+00:00,1,A6N-13N-62-S102^2021-10-01,2021-10-01,940000
38,45,1,2022-04-27 19:31:33.095186+00:00,1,A6N-13N-62-S104^2021-08-01,2021-08-01,840000
39,46,1,2022-04-28 15:46:16.967525+00:00,1,A6N-13N-62-S103^2020-06-01,2020-06-01,790000
40,47,1,2022-04-28 16:29:37.225581+00:00,1,A6N-13N-62-S105^2021-09-01,2021-09-01,850000
41,48,1,2022-04-28 19:04:06.533867+00:00,1,C31-1B-80^2013-06-01,2013-06-01,1625000
42,49,1,2022-04-28 19:17:39.026864+00:00,1,K2C-30-15-B3^2013-06-01,2013-06-01,2185000
43,50,1,2022-04-29 16:42:05.241222+00:00,1,A6N-13N-62-S108^2016-12-01,2016-12-01,538000
44,51,1,2022-04-29 19:14:26.457193+00:00,1,A6N-13N-62-S109^2021-07-01,2021-07-01,450000
45,52,1,2022-04-29 19:20:27.479273+00:00,1,A6N-13N-62-S110^2021-09-01,2021-09-01,530000
46,53,1,2022-04-29 19:35:54.857566+00:00,1,A6N-13N-62-S114^2021-09-01,2021-09-01,530000
47,54,1,2022-04-29 19:42:56.754873+00:00,1,A6N-13N-62-S201^2021-10-01,2021-10-01,830000
48,55,1,2022-04-29 20:59:46.662743+00:00,1,A6N-13N-62-S202^2021-10-01,2021-10-01,700000
49,56,1,2022-04-29 21:11:42.600062+00:00,1,A6N-13N-62-S203^2022-04-01,2022-04-01,700000
50,57,1,2022-04-29 21:35:08.478794+00:00,1,A6N-13N-62-S204^2021-09-01,2021-09-01,650000
51,58,1,2022-05-03 17:58:50.649111+00:00,1,A6N-13N-62-S207^2004-03-01,2004-03-01,485000
52,59,1,2022-05-03 20:32:28.219877+00:00,1,A6N-13N-62-S205^2020-08-01,2020-08-01,750000
53,60,1,2022-05-03 20:55:45.098767+00:00,1,A6N-13N-62-S208^2020-10-01,2020-10-01,390000
54,61,1,2022-05-03 21:38:01.824095+00:00,1,A6N-13N-62-S209^2006-03-21,2006-03-21,465000
55,62,1,2022-05-05 15:18:02.400266+00:00,1,A6N-13N-62-S210^2017-03-20,2017-03-20,478000
56,63,1,2022-05-05 15:24:53.700933+00:00,1,A6N-13N-62-S211^2017-03-20,2017-03-20,467000
57,64,1,2022-05-05 15:32:58.421058+00:00,1,A6N-13N-62-S212^2011-09-01,2011-09-01,583000
58,65,1,2022-05-05 15:37:31.138732+00:00,1,A6N-13N-62-S214^2018-10-01,2018-10-01,467000
59,66,1,2022-05-05 16:05:07.920018+00:00,1,A6N-13N-62-S217^2018-12-01,2018-12-01,496000
60,67,1,2022-05-05 16:10:30.570189+00:00,1,A6N-13N-62-S219^2004-02-09,2004-02-09,468000
61,68,1,2022-05-05 16:33:10.239256+00:00,1,A6N-13N-62-S221^2018-06-15,2018-06-15,342000
62,69,1,2022-05-05 21:29:04.638495+00:00,1,A6N-13N-62-S301^2021-08-01,2021-08-01,830000
63,70,1,2022-05-05 21:28:50.438582+00:00,1,A6N-13N-62-S302^2021-08-01,2021-08-01,700000
64,71,1,2022-05-05 22:02:31.105763+00:00,1,A6N-13N-62-S303^2022-03-01,2022-03-01,700000
65,72,1,2022-05-06 15:11:17.035269+00:00,1,A6N-13N-62-S304^2022-04-01,2022-04-01,700000
66,73,1,2022-05-06 15:24:37.536893+00:00,1,A6N-13N-62-S305^2021-02-01,2021-02-01,850000
67,74,1,2022-05-06 15:39:33.083037+00:00,1,A6N-13N-62-S306^2018-06-01,2018-06-01,458000
68,75,1,2022-05-06 15:49:26.146524+00:00,1,A6N-13N-62-S308^2022-03-01,2022-03-01,390000
69,76,1,2022-05-06 15:59:26.542362+00:00,1,A6N-13N-62-S309^2022-03-01,2022-03-01,390000
70,77,1,2022-05-06 16:07:17.282495+00:00,1,A6N-13N-62-S311^2021-11-01,2021-11-01,390000
71,78,1,2022-05-06 20:29:48.384841+00:00,1,A6N-13N-62-S312^2007-06-01,2007-06-01,490000
72,79,1,2022-05-06 20:45:21.164921+00:00,1,A6N-13N-62-S314^2019-06-01,2019-06-01,455000
