,code,name
0,1,Activo
1,11,Disponible
2,1110,Bancos
3,111005,Moneda nacional
4,11100505,"Banco de Occidente, 321654987"
5,13,Deudores
6,1328,Aportes por cobrar
7,132805,Aporte EPS por cobrar
8,132810,Aporte pensiones por cobrar
9,1380,Deudores varios
10,138020,Cuentas por cobrar de terceros
11,13802005,Arriendos inmuebles terceros por cobrar
12,13802010,IVA arriendos inmuebles terceros por cobrar
13,13802015,Servicio publicos terceros por cobrar a inquilino
14,138025,Pagos por cuenta de terceros
15,13802505,Servicios publicos de terceros por cobrar a propietario
16,13802510,IVA servicios publicos terceros por cobrar a propietario
17,2,Pasivo
18,23,Cuentas por pagar
19,2335,Costos y gastos por pagar
20,233540,Arrendamientos
21,23354005,Arriendo inmueble por pagar
22,233550,Servicios publicos por pagar
23,23355005,Servicios publicos internos por pagar
24,23355010,Servicios publicos de terceros por pagar
25,2365,Retencion en la fuente
26,236530,Arrendamientos
27,23653005,Rentefuente arriendo inmueble por pagar
28,2370,Retenciones y aportes de nomina
29,237005,Aportes EPS por pagar
30,237006,Aportes ARL por pagar
31,237010,Aportes cajas por pagar
32,2380,Acreedores varios
33,238030,Aporte pensiones por pagar
34,24,"Impuestos, gravamenes y tasas"
35,2408,Impuesto sobre las ventas por pagar
36,240805,IVA interno por pagar
37,240810,IVA externo por pagar
38,25,Obligaciones laborales
39,2505,Salarios por pagar
40,250505,Salarios por pagar
41,250510,Auxilio de transporte por pagar
42,2510,Cesatias consolidadas
43,251010,Cesantias consolidadas por pagar
44,2515,Intereses sobre cesantias por pagar
45,2520,Prima por pagar
46,2525,Vacaciones por pagar
47,28,Otros pasivos
48,2815,Ingresos recibidos para terceros
49,281505,Valores recibidos para terceros
50,28150505,Arriendos inmuebles terceros por pagar
51,28150510,IVA arriendos inmuebles terceros por pagar
52,28150515,Servicios publicos terceros recuperados por pagar
53,5,Gastos
54,51,Operaciones de Administracion
55,5105,Gastos personal
56,510506,Sueldos personal
57,510527,Auxilio de transporte personal
58,510530,Cesantias personal
59,510533,Intereses sobre cesantias personal
60,510536,Prima de servicios personal
61,510539,Vacaciones personal
62,510568,ARL personal
63,510569,EPS personal
64,510570,Pensiones personal
65,510572,Cajas de compensacion personal
66,5115,Impuestos
67,511570,IVA descontable
68,5120,Arrendamientos
69,512010,Arriendo inmueble
70,5135,Servicios
71,513520,Procesamiento electronico de datos
72,513535,Telefono
73,8,Cuentas de orden deudoras
74,83,Deudoras de control
75,8395,Otras cuentas deudoras de control
76,839530,Contraparte a retenciones a arriendos inmuebles de terceros
77,9,Cuentas de orden acreedoras
78,91,Responsabilidades contingentes
79,9130,Contratos de administración delegada
80,913005,Arriendos inmuebles de terceros por recibir
81,93,Acrredoras de control
82,9395,Otras cuentas de orden acreedoras de control
83,939505,Documentos por cobrar descontados
84,93950505,Retenciones a arriendos inmuebles de terceros
