,id,ledger_id,account_id,value,concept_id,settled
0,145,FV-00000001,13802005,1500000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
1,146,FV-00000001,13802010,285000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
2,147,FV-00000001,240810,-285000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
3,148,FV-00000001,913005,-1500000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
4,149,FV-00000002,13802005,709677,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,False
5,150,FV-00000002,13802010,134839,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,False
6,151,FV-00000002,240810,-134839,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,False
7,152,FV-00000002,913005,-709677,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,False
8,153,FV-00000003,13802005,2000000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,False
9,154,FV-00000003,13802010,380000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,False
10,155,FV-00000003,240810,-380000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,False
11,156,FV-00000003,913005,-2000000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,False
12,157,FV-00000004,13802005,1600000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,False
13,158,FV-00000004,13802010,304000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,False
14,159,FV-00000004,240810,-304000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,False
15,160,FV-00000004,913005,-1600000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,False
16,161,FV-00000005,13802005,3000000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,False
17,162,FV-00000005,13802010,570000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,False
18,163,FV-00000005,240810,-570000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,False
19,164,FV-00000005,913005,3000000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,False
20,165,FV-00000006,13802005,1500000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
21,166,FV-00000006,13802010,285000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
22,167,FV-00000006,240810,-285000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
23,168,FV-00000006,913005,-1500000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
24,169,FV-00000007,13802005,1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,False
25,170,FV-00000007,13802010,190000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,False
26,171,FV-00000007,240810,-190000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,False
27,172,FV-00000007,913005,-1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,False
28,173,FV-00000008,13802005,413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30,False
29,174,FV-00000008,913005,-413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30,False
30,175,FV-00000009,13802005,2000000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,False
31,176,FV-00000009,13802010,380000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,False
32,177,FV-00000009,240810,-380000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,False
33,178,FV-00000009,913005,-2000000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,False
34,179,FV-00000010,13802005,3000000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,False
35,180,FV-00000010,13802010,570000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,False
36,181,FV-00000010,240810,-570000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,False
37,182,FV-00000010,913005,3000000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,False
38,183,FV-00000011,13802005,500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30,False
39,184,FV-00000011,913005,-500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30,False
40,185,FV-00000012,13802005,1500000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,False
41,186,FV-00000012,13802010,285000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,False
42,187,FV-00000012,240810,-285000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,False
43,188,FV-00000012,913005,-1500000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,False
44,189,FV-00000013,13802005,1000000,Mensualidad Arriendo Inmueble^2022-03-01_C18-1N-33^2022-01-01,False
45,190,FV-00000013,13802010,190000,Mensualidad Arriendo Inmueble^2022-03-01_C18-1N-33^2022-01-01,False
46,191,FV-00000013,240810,-190000,Mensualidad Arriendo Inmueble^2022-03-01_C18-1N-33^2022-01-01,False
47,192,FV-00000013,913005,-1000000,Mensualidad Arriendo Inmueble^2022-03-01_C18-1N-33^2022-01-01,False
48,193,FV-00000014,13802005,2000000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,False
49,194,FV-00000014,13802010,380000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,False
50,195,FV-00000014,240810,-380000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,False
51,196,FV-00000014,913005,-2000000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,False
52,197,RC-00000001,11100505,1000000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
53,198,RC-00000001,13802005,-715000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
