,id_number,id_type,type,name,complete_name,person_ptr_id,legal_type
0,800219204,1,1,Coragro,Coragro S.A.,800219204,0
1,901012053,1,1,Andiplast Envases,Andiplast Envases S.A.S.,901012053,1
2,900582366,1,1,Maquinpro de Colombia,Maquinpro de Colombia S.A.S.,900582366,1
3,900245885,1,1,Mulplast,Mulplast S.A.S.,900245885,1
4,900961321,1,1,Cocoambiental,Cocoambiental S.A.S.,900961321,1
5,805001597,1,1,Innovaciones Plasticas,Innovaciones Plasticas S.A.S.,805001597,1
6,900575356,1,1,QW Health de Colombia,QW Health de Colombia S.A.S.,900575356,1
7,890904130,1,1,Alimentos Carnicos,Alimentos Carnicos S.A.S.,890904130,1
8,830134857,1,1,Prodeplasticos,Prodeplasticos S.A.S.,830134857,1
9,900672393,1,1,Palmiplast Industrias,Palmiplast Industrias S.A.S.,900672393,1
10,901063279,1,1,O´Celeste,O´Celeste S.A.S.,901063279,1
11,900346960,1,1,Global Tennis,Global Tennis S.A.S.,900346960,1
12,890930227,1,1,ROR Ingenieria,ROR Ingenieria S.A.S.,890930227,1
13,900570334,1,1,Someda Intagrated,Someda Intagrated S.A.S.,900570334,1
14,900087432,1,1,Granos y Proteinas,Granos y Proteinas S.A.S.,900087432,1
15,800017469,1,1,Comercializadora Omega,Comercializadora Omega LTDA.,800017469,2
16,805018771,1,1,"Ferreteria,Pinturas Y Productos Agropecuarios","Ferreteria,Pinturas Y Productos Agropecuarios LTDA.",805018771,2
17,900206937,1,1,Del Corte Mobiliari,Del Corte Mobiliari S.A.S.,900206937,1
18,900719717,1,1,Universal de Aceros y Trifilados,Universal de Aceros y Trifilados S.A.S.,900719717,1
19,901012767,1,1,Asoboce,Asoboce S.A.S.,901012767,1
20,900244841,1,1,Actividades Textiles,Actividades Textiles S.A.S.,900244841,1
21,890204680,1,1,Representaciones Especiales,Representaciones Especiales LTDA.,890204680,2
22,890328485,1,1,Productos de Caucho y Lona,Productos de Caucho y Lona S.A.S.,890328485,1
23,900858114,1,1,Arquimaderas,Arquimaderas S.A.S.,900858114,1
24,800136505,1,1,Datecsa,Datecsa S.A.,800136505,0
25,901257178,1,1,Diesel Lujo Ferreteria Al Costo,Diesel Lujo Ferreteria Al Costo S.A.S.,901257178,1
26,890323635,1,1,El Comercio ELectrico,El Comercio ELectrico LTDA.,890323635,2
27,890304345,1,1,Electricos del Valle,Electricos del Valle S.A.,890304345,0
28,901439406,1,1,Electo Iluminaciones EH,Electo Iluminaciones EH S.A.S.,901439406,1
29,901462569,1,1,Ferreteria 5A Norte,Ferreteria 5A Norte S.A.S.,901462569,1
30,890308587,1,1,Ferreteria Barbosa y Cia,Ferreteria Barbosa y Cia S.A.S.,890308587,1
31,860067998,1,1,Ferreteria Miltialambres,Ferreteria Miltialambres S.A.S.,860067998,1
32,901042248,1,1,Ferretornillos Arlex,Ferretornillos Arlex S.A.S.,901042248,1
33,900420715,1,1,Grupo Empresarial Silver,Grupo Empresarial Silver S.A.S.,900420715,1
34,901149951,1,1,La Bodeguita Cotic,La Bodeguita Cotic S.A.S.,901149951,1
35,805004110,1,1,Uniescolar Papeleria,Uniescolar Papeleria LTDA.,805004110,2
