,id,realty_id,estate_id,percentage
0,1,A6N-13N-62-O1,760010100020700370004000000004,100.0000
1,2,A6N-13N-62-S101,760010100020700370004000000004,100.0000
2,3,A6N-13N-62-S102,760010100020700370004000000004,100.0000
3,4,A6N-13N-62-S103,760010100020700370004000000004,100.0000
4,5,A6N-13N-62-S104,760010100020700370004000000004,100.0000
5,6,A6N-13N-62-S105,760010100020700370004000000004,100.0000
6,7,A6N-13N-62-S106,760010100020700370004000000004,100.0000
7,8,A6N-13N-62-S107,760010100020700370004000000004,100.0000
8,9,A6N-13N-62-S108,760010100020700370004000000004,100.0000
9,10,A6N-13N-62-S109,760010100020700370004000000004,100.0000
10,11,A6N-13N-62-S110,760010100020700370004000000004,100.0000
11,12,A6N-13N-62-S111,760010100020700370004000000004,100.0000
12,13,A6N-13N-62-S112,760010100020700370004000000004,100.0000
13,14,A6N-13N-62-S114,760010100020700370004000000004,100.0000
14,15,A6N-13N-62-S201,760010100020700370004000000004,100.0000
15,16,A6N-13N-62-S202,760010100020700370004000000004,100.0000
16,17,A6N-13N-62-S203,760010100020700370004000000004,100.0000
17,18,A6N-13N-62-S204,760010100020700370004000000004,100.0000
18,19,A6N-13N-62-S205,760010100020700370004000000004,100.0000
19,20,A6N-13N-62-S206,760010100020700370004000000004,100.0000
20,21,A6N-13N-62-S207,760010100020700370004000000004,100.0000
21,22,A6N-13N-62-S208,760010100020700370004000000004,100.0000
22,23,A6N-13N-62-S209,760010100020700370004000000004,100.0000
23,24,A6N-13N-62-S210,760010100020700370004000000004,100.0000
24,25,A6N-13N-62-S211,760010100020700370004000000004,100.0000
25,26,A6N-13N-62-S212,760010100020700370004000000004,100.0000
26,27,A6N-13N-62-S214,760010100020700370004000000004,100.0000
27,28,A6N-13N-62-S215,760010100020700370004000000004,100.0000
28,29,A6N-13N-62-S216,760010100020700370004000000004,100.0000
29,30,A6N-13N-62-S217,760010100020700370004000000004,100.0000
30,31,A6N-13N-62-S218,760010100020700370004000000004,100.0000
31,32,A6N-13N-62-S219,760010100020700370004000000004,100.0000
32,33,A6N-13N-62-S220,760010100020700370004000000004,100.0000
33,34,A6N-13N-62-S221,760010100020700370004000000004,100.0000
34,35,A6N-13N-62-S222,760010100020700370004000000004,100.0000
35,36,A6N-13N-62-S301,760010100020700370004000000004,100.0000
36,37,A6N-13N-62-S302,760010100020700370004000000004,100.0000
37,38,A6N-13N-62-S303,760010100020700370004000000004,100.0000
38,39,A6N-13N-62-S304,760010100020700370004000000004,100.0000
39,40,A6N-13N-62-S305,760010100020700370004000000004,100.0000
40,41,A6N-13N-62-S306,760010100020700370004000000004,100.0000
41,42,A6N-13N-62-S307,760010100020700370004000000004,100.0000
42,43,A6N-13N-62-S308,760010100020700370004000000004,100.0000
43,44,A6N-13N-62-S309,760010100020700370004000000004,100.0000
44,45,A6N-13N-62-S310,760010100020700370004000000004,100.0000
45,46,A6N-13N-62-S311,760010100020700370004000000004,100.0000
46,47,A6N-13N-62-S312,760010100020700370004000000004,100.0000
47,48,A6N-13N-62-S314,760010100020700370004000000004,100.0000
48,49,A6N-13N-62-S315,760010100020700370004000000004,100.0000
