,type,use,code,address_id,total_area
0,2,1,A6N-13N-62-O1,A6N-13N-62-O1,78.8
1,9,0,A6N-13N-62-S101,A6N-13N-62-S101,55.0
2,9,0,A6N-13N-62-S102,A6N-13N-62-S102,45.0
3,9,0,A6N-13N-62-S103,A6N-13N-62-S103,31.0
4,9,0,A6N-13N-62-S104,A6N-13N-62-S104,40.0
5,9,0,A6N-13N-62-S105,A6N-13N-62-S105,40.0
6,9,0,A6N-13N-62-S106,A6N-13N-62-S106,52.5
7,9,0,A6N-13N-62-S107,A6N-13N-62-S107,45.9
8,9,0,A6N-13N-62-S108,A6N-13N-62-S108,45.4
9,9,0,A6N-13N-62-S109,A6N-13N-62-S109,44.6
10,9,0,A6N-13N-62-S110,A6N-13N-62-S110,44.1
11,9,0,A6N-13N-62-S111,A6N-13N-62-S111,43.3
12,9,0,A6N-13N-62-S112,A6N-13N-62-S112,42.7
13,9,0,A6N-13N-62-S114,A6N-13N-62-S114,41.4
14,9,0,A6N-13N-62-S201,A6N-13N-62-S201,35.0
15,9,0,A6N-13N-62-S202,A6N-13N-62-S202,28.0
16,9,0,A6N-13N-62-S203,A6N-13N-62-S203,23.0
17,9,0,A6N-13N-62-S204,A6N-13N-62-S204,25.0
18,9,0,A6N-13N-62-S205,A6N-13N-62-S205,28.0
19,9,0,A6N-13N-62-S206,A6N-13N-62-S206,34.0
20,9,0,A6N-13N-62-S207,A6N-13N-62-S207,33.8
21,9,0,A6N-13N-62-S208,A6N-13N-62-S208,34.0
22,9,0,A6N-13N-62-S209,A6N-13N-62-S209,33.8
23,9,0,A6N-13N-62-S210,A6N-13N-62-S210,34.0
24,9,0,A6N-13N-62-S211,A6N-13N-62-S211,33.8
25,9,0,A6N-13N-62-S212,A6N-13N-62-S212,34.7
26,9,0,A6N-13N-62-S214,A6N-13N-62-S214,35.7
27,9,0,A6N-13N-62-S215,A6N-13N-62-S215,2.0
28,9,0,A6N-13N-62-S216,A6N-13N-62-S216,35.5
29,9,0,A6N-13N-62-S217,A6N-13N-62-S217,39.9
30,9,0,A6N-13N-62-S218,A6N-13N-62-S218,33.2
31,9,0,A6N-13N-62-S219,A6N-13N-62-S219,40.6
32,9,0,A6N-13N-62-S220,A6N-13N-62-S220,31.9
33,9,0,A6N-13N-62-S221,A6N-13N-62-S221,30.3
34,9,0,A6N-13N-62-S222,A6N-13N-62-S222,30.6
