realty,doc_date,start_date,end_date
A6N-13N-62-O1,,,
A6N-13N-62-S101,2021-04-01,2021-04-01,
A6N-13N-62-S102,2021-10-01,2021-10-01,
A6N-13N-62-S102,2021-04-01,2021-04-01,
A6N-13N-62-S103,2020-06-01,2020-06-01,
A6N-13N-62-S104,2021-08-01,2021-08-01,
A6N-13N-62-S105,2021-09-01,2021-09-01,
A6N-13N-62-S106,,,
A6N-13N-62-S107,,,
A6N-13N-62-S108,2016-12-01,2016-12-01,
A6N-13N-62-S109,2021-07-01,2021-07-01,
A6N-13N-62-S110,2021-09-01,2021-09-01,
A6N-13N-62-S111,,,
A6N-13N-62-S112,,,
A6N-13N-62-S114,2021-09-01,2021-09-01,
A6N-13N-62-S201,2021-10-01,2021-10-01,
A6N-13N-62-S202,2021-10-01,2021-10-01,
A6N-13N-62-S203,2022-04-01,2022-04-01,
A6N-13N-62-S204,2021-09-01,2021-09-01,
A6N-13N-62-S205,2020-08-01,2020-08-01,
A6N-13N-62-S206,,,
A6N-13N-62-S207,2004-03-01,2004-03-01,
A6N-13N-62-S208,2020-10-01,2020-10-01,
A6N-13N-62-S209,2006-03-21,2006-03-21,
A6N-13N-62-S210,2017-03-20,2017-03-20,
A6N-13N-62-S211,2017-03-20,2017-03-20,
A6N-13N-62-S212,2011-09-01,2011-09-01,
A6N-13N-62-S214,2018-10-01,2018-10-01,
A6N-13N-62-S215,,,
A6N-13N-62-S216,,,
A6N-13N-62-S217,2018-12-01,2018-12-01,
A6N-13N-62-S218,,,
A6N-13N-62-S219,2004-02-09,2004-02-09,
A6N-13N-62-S220,,,
A6N-13N-62-S221,2018-06-15,2018-06-15,
A6N-13N-62-S222,,,
A6N-13N-62-S301,2021-08-01,2021-08-01,
A6N-13N-62-S302,2021-08-01,2021-08-01,
A6N-13N-62-S303,2022-03-01,2022-03-01,
A6N-13N-62-S304,2022-04-01,2022-04-01,
A6N-13N-62-S305,2021-02-01,2021-02-01,
A6N-13N-62-S306,2018-06-01,2018-06-01,
A6N-13N-62-S307,,,
A6N-13N-62-S308,2022-03-01,2022-03-01,
A6N-13N-62-S309,2022-03-01,2022-03-01,
A6N-13N-62-S310,,,
A6N-13N-62-S311,2021-11-01,2021-11-01,
A6N-13N-62-S312,2007-06-01,2007-06-01,
A6N-13N-62-S314,2019-06-01,2019-06-01,
A6N-13N-62-S315,,,
A6N-13N-62-S316,,,
A6N-13N-62-S317,,,
A6N-13N-62-S318,,,
A6N-13N-62-S319,,,
A6N-13N-62-S320,,,
A6N-13N-62-S321,,,
A6N-13N-62-S322,,,
A6N-13N-66,2019-04-01,2019-04-01,
A6N-13N-68,1999-01-01,1999-01-01,
C18-1N-33,2021-10-01,2021-10-01,
C18-1N-39,2022-03-01,2022-03-11,
C18-1N-41,2021-02-01,2021-02-01,
C18-1N-43,,,
C30-1B-13,2017-05-01,2017-05-01,
C30-1B-15-B1,2020-11-01,2020-11-01,
C30-1B-15-B2,2013-04-15,2013-04-15,
C30-1B-15-B3,2017-10-01,,
C30-1B-15-B5,2019-04-01,2019-04-01,
C30-1B-27,2014-09-01,2014-09-01,
C30-1B-31,2019-11-01,2019-11-01,
C31-1B-24,2016-02-15,,
C31-1B-24,2018-05-01,2018-05-01,
C31-1B-34,2004-08-01,2004-08-01,
C31-1B-4,2009-01-01,2009-01-01,
C31-1B-44,2013-12-03,2013-12-03,
C31-1B-54,2016-02-15,2016-02-15,
C31-1B-64,2018-12-01,2018-12-01,
C31-1B-74,2012-12-07,2012-12-01,
C31-1B-80,2013-06-01,2013-06-01,
K1-17-37,2012-02-01,,
K1-17-43,2017-07-15,,
K1-17-47,2021-10-01,2021-10-01,
K1-17-53,2017-06-01,2017-06-01,
K1-17-57,2001-09-01,2001-09-01,
K1-17-65,,,
K1-35-29-B11,2020-08-01,2020-08-01,
K1-35-29-B9,2021-09-01,2021-09-01,
K1B-30-16,2006-05-10,2006-05-10,
K1B-30-34,2013-09-01,2013-09-01,
K1B-30-52,1970-01-01,,
K1B-30-52,2018-05-01,2018-05-01,
K1B-30-76,,,
K2C-29-36,2017-04-01,2017-04-01,
K2C-30-15-B2,2019-07-01,2019-07-01,
K2C-30-15-B3,2013-06-01,2013-06-01,
K2C-30-27,2020-10-01,2020-10-01,
K2C-30-29,2019-11-01,2019-11-01,
K2C-30-3,,,
K2C-30-51,2021-12-01,2021-12-15,
K2C-30-9,,,
