,id,state_change_user_id,state_change_date,state,lease_id,realty_id,primary
0,7,3,2022-04-18 14:51:26.225436+00:00,1,C18-1N-41^2021-02-01,C18-1N-41,True
1,8,3,2022-04-18 14:57:30.740307+00:00,1,K1-17-43^2017-07-15,K1-17-43,True
2,9,3,2022-04-18 15:07:59.560558+00:00,1,K1-17-37^2012-02-01,K1-17-37,True
3,10,3,2022-04-18 16:11:12.455134+00:00,1,C18-1N-39^2022-03-01,C18-1N-39,True
4,11,3,2022-04-18 16:22:51.351195+00:00,1,C18-1N-33^2021-10-01,C18-1N-33,True
5,12,3,2022-04-18 16:51:31.924204+00:00,1,K1-17-53^2017-06-01,K1-17-53,True
6,13,3,2022-04-18 17:46:55.289771+00:00,1,K1-17-57^2001-09-01,K1-17-57,True
7,14,3,2022-04-18 20:19:12.715985+00:00,1,K1-17-47^2021-10-01,K1-17-47,True
8,15,3,2022-04-18 21:43:32.360769+00:00,1,C31-1B-74^2012-12-07,C31-1B-74,True
9,16,3,2022-04-18 21:54:59.204594+00:00,1,C31-1B-64^2018-12-01,C31-1B-64,True
10,17,3,2022-04-19 18:34:13.122815+00:00,1,C31-1B-24^2016-02-15,C31-1B-24,True
11,18,3,2022-04-19 18:37:27.002609+00:00,1,C31-1B-54^2016-02-15,C31-1B-54,True
12,19,3,2022-04-19 19:27:09.145103+00:00,1,C31-1B-44^2013-12-03,C31-1B-44,True
13,20,3,2022-04-19 19:36:38.910929+00:00,1,C31-1B-4^2009-01-01,C31-1B-4,True
14,21,3,2022-04-21 18:11:06.142252+00:00,1,K2C-30-15-B2^2019-07-01,K2C-30-15-B2,True
15,22,3,2022-04-21 19:44:26.122734+00:00,1,C31-1B-34^2004-08-01,C31-1B-34,True
16,23,3,2022-04-21 20:07:55.943328+00:00,1,C31-1B-24^2018-05-01,C31-1B-24,True
17,24,3,2022-04-22 15:30:48.538803+00:00,1,K1B-30-52^1970-01-01,K1B-30-52,True
18,25,3,2022-04-22 15:33:05.960428+00:00,1,K1B-30-52^2018-05-01,K1B-30-52,True
19,26,3,2022-04-22 16:05:20.953116+00:00,1,K2C-30-29^2019-11-01,K2C-30-29,True
20,27,3,2022-04-22 16:26:28.429768+00:00,1,K2C-30-27^2020-10-01,K2C-30-27,True
21,28,3,2022-04-22 18:18:53.802777+00:00,1,C30-1B-31^2019-11-01,C30-1B-31,True
22,29,3,2022-04-22 20:22:47.734571+00:00,1,C30-1B-27^2014-09-01,C30-1B-27,True
23,30,3,2022-04-22 20:54:38.295991+00:00,1,C30-1B-15-B3^2017-10-01,C30-1B-15-B3,True
24,31,3,2022-04-25 14:47:53.844770+00:00,1,C30-1B-15-B2^2013-04-15,C30-1B-15-B2,True
25,32,3,2022-04-25 15:30:19.565193+00:00,1,C30-1B-15-B1^2020-11-01,C30-1B-15-B1,True
26,33,3,2022-04-25 15:40:06.630141+00:00,1,K2C-30-51^2021-12-01,K2C-30-51,True
27,34,3,2022-04-25 16:35:29.047062+00:00,1,C30-1B-15-B5^2019-04-01,C30-1B-15-B5,True
28,35,3,2022-04-25 17:01:03.510598+00:00,1,K1B-30-16^2006-05-10,K1B-30-16,True
29,36,3,2022-04-25 20:43:51.198296+00:00,1,K1B-30-34^2013-09-01,K1B-30-34,True
30,37,3,2022-04-26 15:55:05.684440+00:00,1,K1-35-29-B11^2020-08-01,K1-35-29-B11,True
31,38,3,2022-04-26 18:24:51.422078+00:00,1,K1-35-29-B9^2021-09-01,K1-35-29-B9,True
32,39,3,2022-04-26 18:42:59.135674+00:00,1,C30-1B-13^2017-05-01,C30-1B-13,True
33,40,3,2022-04-26 20:20:54.908714+00:00,1,K2C-29-36^2017-04-01,K2C-29-36,True
34,41,3,2022-04-26 20:41:00.562109+00:00,1,A6N-13N-66^2019-04-01,A6N-13N-66,True
35,42,3,2022-04-26 20:49:10.123559+00:00,1,A6N-13N-68^1999-01-01,A6N-13N-68,True
36,43,3,2022-04-26 21:17:13.509761+00:00,1,A6N-13N-62-S101^2021-04-01,A6N-13N-62-S101,True
37,44,3,2022-04-27 18:09:23.748945+00:00,1,A6N-13N-62-S102^2021-10-01,A6N-13N-62-S102,True
38,45,3,2022-04-27 19:31:33.083361+00:00,1,A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104,True
39,46,3,2022-04-28 15:46:16.950178+00:00,1,A6N-13N-62-S103^2020-06-01,A6N-13N-62-S103,True
40,47,3,2022-04-28 16:29:37.208505+00:00,1,A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105,True
41,48,3,2022-04-28 19:04:06.515907+00:00,1,C31-1B-80^2013-06-01,C31-1B-80,True
42,49,3,2022-04-28 19:17:39.016465+00:00,1,K2C-30-15-B3^2013-06-01,K2C-30-15-B3,True
43,50,3,2022-04-29 16:42:05.229539+00:00,1,A6N-13N-62-S108^2016-12-01,A6N-13N-62-S108,True
44,51,3,2022-04-29 19:14:26.439273+00:00,1,A6N-13N-62-S109^2021-07-01,A6N-13N-62-S109,True
45,52,3,2022-04-29 19:20:27.467968+00:00,1,A6N-13N-62-S110^2021-09-01,A6N-13N-62-S110,True
46,53,3,2022-04-29 19:35:54.846741+00:00,1,A6N-13N-62-S114^2021-09-01,A6N-13N-62-S114,True
47,54,3,2022-04-29 19:42:56.744341+00:00,1,A6N-13N-62-S201^2021-10-01,A6N-13N-62-S201,True
48,55,3,2022-04-29 20:59:46.630993+00:00,1,A6N-13N-62-S202^2021-10-01,A6N-13N-62-S202,True
49,56,3,2022-04-29 21:11:42.589757+00:00,1,A6N-13N-62-S203^2022-04-01,A6N-13N-62-S203,True
50,57,3,2022-04-29 21:35:08.461304+00:00,1,A6N-13N-62-S204^2021-09-01,A6N-13N-62-S204,True
51,58,3,2022-05-03 17:58:50.630381+00:00,1,A6N-13N-62-S207^2004-03-01,A6N-13N-62-S207,True
52,59,3,2022-05-03 20:32:28.209027+00:00,1,A6N-13N-62-S205^2020-08-01,A6N-13N-62-S205,True
53,60,3,2022-05-03 20:55:45.080783+00:00,1,A6N-13N-62-S208^2020-10-01,A6N-13N-62-S208,True
54,61,3,2022-05-03 21:38:01.806816+00:00,1,A6N-13N-62-S209^2006-03-21,A6N-13N-62-S209,True
55,62,3,2022-05-05 15:18:02.382613+00:00,1,A6N-13N-62-S210^2017-03-20,A6N-13N-62-S210,True
56,63,3,2022-05-05 15:24:53.681043+00:00,1,A6N-13N-62-S211^2017-03-20,A6N-13N-62-S211,True
57,64,3,2022-05-05 15:32:58.410034+00:00,1,A6N-13N-62-S212^2011-09-01,A6N-13N-62-S212,True
58,65,3,2022-05-05 15:37:31.127742+00:00,1,A6N-13N-62-S214^2018-10-01,A6N-13N-62-S214,True
59,66,3,2022-05-05 16:05:07.909438+00:00,1,A6N-13N-62-S217^2018-12-01,A6N-13N-62-S217,True
60,67,3,2022-05-05 16:10:30.559553+00:00,1,A6N-13N-62-S219^2004-02-09,A6N-13N-62-S219,True
61,68,3,2022-05-05 16:33:10.222608+00:00,1,A6N-13N-62-S221^2018-06-15,A6N-13N-62-S221,True
62,69,3,2022-05-05 21:18:42.390441+00:00,1,A6N-13N-62-S301^2021-08-01,A6N-13N-62-S301,True
63,70,3,2022-05-05 21:28:50.427491+00:00,1,A6N-13N-62-S302^2021-08-01,A6N-13N-62-S302,True
64,71,3,2022-05-05 22:02:31.094545+00:00,1,A6N-13N-62-S303^2022-03-01,A6N-13N-62-S303,True
65,72,3,2022-05-06 15:11:17.018084+00:00,1,A6N-13N-62-S304^2022-04-01,A6N-13N-62-S304,True
66,73,3,2022-05-06 15:24:37.525711+00:00,1,A6N-13N-62-S305^2021-02-01,A6N-13N-62-S305,True
67,74,3,2022-05-06 15:39:33.072537+00:00,1,A6N-13N-62-S306^2018-06-01,A6N-13N-62-S306,True
