,id,state_change_user_id,state_change_date,state,accountable_id,transaction_type_id,ledger_template_id,date_applicable
0,1,1,2022-10-25 20:09:31.797040+00:00,2,A6N-13N-62-O1^2015-01-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
1,2,1,2022-10-25 20:09:31.797061+00:00,2,A6N-13N-62-S101^2021-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
2,3,1,2022-10-25 20:09:31.797080+00:00,2,A6N-13N-62-S102^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
3,4,1,2022-10-25 20:09:31.797098+00:00,2,A6N-13N-62-S103^2020-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
4,5,1,2022-10-25 20:09:31.797116+00:00,2,A6N-13N-62-S103^2022-05-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-05-01
5,6,1,2022-10-25 20:09:31.797134+00:00,2,A6N-13N-62-S104^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
6,7,1,2022-10-25 20:09:31.797152+00:00,2,A6N-13N-62-S105^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
7,8,1,2022-10-25 20:09:31.797169+00:00,2,A6N-13N-62-S108^2016-12-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
8,9,1,2022-10-25 20:09:31.797186+00:00,2,A6N-13N-62-S109^2021-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
9,10,1,2022-10-25 20:09:31.797204+00:00,2,A6N-13N-62-S110^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
10,11,1,2022-10-25 20:09:31.797221+00:00,2,A6N-13N-62-S111^2021-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
