,id,state_change_user_id,state_change_date,state,lease_id,realty_id,primary
0,1,1,2022-10-11 20:22:48.487163+00:00,1,A6N-13N-62-O1^2015-01-01,A6N-13N-62-O1,TRUE
1,2,1,2022-10-11 20:22:48.487198+00:00,1,A6N-13N-62-S101^2021-04-01,A6N-13N-62-S101,TRUE
2,3,1,2022-10-11 20:22:48.487215+00:00,1,A6N-13N-62-S102^2021-10-01,A6N-13N-62-S102,TRUE
3,4,1,2022-10-11 20:22:48.487231+00:00,1,A6N-13N-62-S103^2020-06-01,A6N-13N-62-S103,TRUE
4,5,1,2022-10-11 20:22:48.487245+00:00,1,A6N-13N-62-S103^2022-05-01,A6N-13N-62-S103,TRUE
5,6,1,2022-10-11 20:22:48.487259+00:00,1,A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104,TRUE
6,7,1,2022-10-11 20:22:48.487274+00:00,1,A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105,TRUE
7,8,1,2022-10-11 20:22:48.487288+00:00,1,A6N-13N-62-S108^2016-12-01,A6N-13N-62-S108,TRUE
8,9,1,2022-10-11 20:22:48.487302+00:00,1,A6N-13N-62-S109^2021-07-01,A6N-13N-62-S109,TRUE
9,10,1,2022-10-11 20:22:48.487316+00:00,1,A6N-13N-62-S110^2021-09-01,A6N-13N-62-S110,TRUE
10,11,1,2022-10-11 20:22:48.487330+00:00,1,A6N-13N-62-S111^2021-04-01,A6N-13N-62-S111,TRUE
11,12,1,2022-10-11 20:22:48.487344+00:00,1,A6N-13N-62-S111^2022-07-01,A6N-13N-62-S111,TRUE
12,13,1,2022-10-11 20:22:48.487358+00:00,1,A6N-13N-62-S112^2015-04-01,A6N-13N-62-S112,TRUE
13,14,1,2022-10-11 20:22:48.487372+00:00,1,A6N-13N-62-S114^2021-09-01,A6N-13N-62-S114,TRUE
14,15,1,2022-10-11 20:22:48.487386+00:00,1,A6N-13N-62-S201^2021-10-01,A6N-13N-62-S201,TRUE
15,16,1,2022-10-11 20:22:48.487400+00:00,1,A6N-13N-62-S202^2021-10-01,A6N-13N-62-S202,TRUE
16,17,1,2022-10-11 20:22:48.487414+00:00,1,A6N-13N-62-S203^2020-10-01,A6N-13N-62-S203,TRUE
17,18,1,2022-10-11 20:22:48.487428+00:00,1,A6N-13N-62-S203^2022-04-01,A6N-13N-62-S203,TRUE
18,19,1,2022-10-11 20:22:48.487442+00:00,1,A6N-13N-62-S204^2021-09-01,A6N-13N-62-S204,TRUE
19,20,1,2022-10-11 20:22:48.487456+00:00,1,A6N-13N-62-S205^2020-08-01,A6N-13N-62-S205,TRUE
20,21,1,2022-10-11 20:22:48.487470+00:00,1,A6N-13N-62-S207^2004-03-01,A6N-13N-62-S207,TRUE
21,22,1,2022-10-11 20:22:48.487484+00:00,1,A6N-13N-62-S208^2021-10-01,A6N-13N-62-S208,TRUE
22,23,1,2022-10-11 20:22:48.487498+00:00,1,A6N-13N-62-S209^2006-03-21,A6N-13N-62-S209,TRUE
23,24,1,2022-10-11 20:22:48.487512+00:00,1,A6N-13N-62-S210^2017-03-20,A6N-13N-62-S210,TRUE
24,25,1,2022-10-11 20:22:48.487526+00:00,1,A6N-13N-62-S211^2017-03-08,A6N-13N-62-S211,TRUE
25,26,1,2022-10-11 20:22:48.487540+00:00,1,A6N-13N-62-S212^2011-09-01,A6N-13N-62-S212,TRUE
26,27,1,2022-10-11 20:22:48.487554+00:00,1,A6N-13N-62-S214^2018-10-01,A6N-13N-62-S214,TRUE
27,28,1,2022-10-11 20:22:48.487568+00:00,1,A6N-13N-62-S217^2018-12-01,A6N-13N-62-S217,TRUE
28,29,1,2022-10-11 20:22:48.487582+00:00,1,A6N-13N-62-S219^2004-02-09,A6N-13N-62-S219,TRUE
29,30,1,2022-10-11 20:22:48.487595+00:00,1,A6N-13N-62-S221^2018-06-15,A6N-13N-62-S221,TRUE
30,31,1,2022-10-11 20:22:48.487609+00:00,1,A6N-13N-62-S222^2022-06-01,A6N-13N-62-S222,TRUE
31,32,1,2022-10-11 20:22:48.487623+00:00,1,A6N-13N-62-S301^2021-08-01,A6N-13N-62-S301,TRUE
32,33,1,2022-10-11 20:22:48.487637+00:00,1,A6N-13N-62-S302^2021-08-01,A6N-13N-62-S302,TRUE
33,34,1,2022-10-11 20:22:48.487651+00:00,1,A6N-13N-62-S303^2022-03-01,A6N-13N-62-S303,TRUE
34,35,1,2022-10-11 20:22:48.487665+00:00,1,A6N-13N-62-S304^2022-04-01,A6N-13N-62-S304,TRUE
35,36,1,2022-10-11 20:22:48.487679+00:00,1,A6N-13N-62-S305^2021-02-01,A6N-13N-62-S305,TRUE
36,37,1,2022-10-11 20:22:48.487693+00:00,1,A6N-13N-62-S306^2018-06-01,A6N-13N-62-S306,TRUE
37,38,1,2022-10-11 20:22:48.487707+00:00,1,A6N-13N-62-S308^2022-03-01,A6N-13N-62-S308,TRUE
38,39,1,2022-10-11 20:22:48.487721+00:00,1,A6N-13N-62-S308^2022-07-01,A6N-13N-62-S308,TRUE
39,40,1,2022-10-11 20:22:48.487736+00:00,1,A6N-13N-62-S309^2022-03-01,A6N-13N-62-S309,TRUE
40,41,1,2022-10-11 20:22:48.487751+00:00,1,A6N-13N-62-S310^2021-12-01,A6N-13N-62-S310,TRUE
41,42,1,2022-10-11 20:22:48.487765+00:00,1,A6N-13N-62-S310^2022-07-01,A6N-13N-62-S310,TRUE
42,43,1,2022-10-11 20:22:48.487780+00:00,1,A6N-13N-62-S311^2021-11-01,A6N-13N-62-S311,TRUE
43,44,1,2022-10-11 20:22:48.487795+00:00,1,A6N-13N-62-S312^2017-06-01,A6N-13N-62-S312,TRUE
44,45,1,2022-10-11 20:22:48.487809+00:00,1,A6N-13N-62-S314^2019-06-01,A6N-13N-62-S314,TRUE
45,46,1,2022-10-11 20:22:48.487822+00:00,1,A6N-13N-62-S315^2019-08-01,A6N-13N-62-S315,TRUE
46,47,1,2022-10-11 20:22:48.487836+00:00,1,A6N-13N-62-S317^2022-06-01,A6N-13N-62-S317,TRUE
47,48,1,2022-10-11 20:22:48.487850+00:00,1,A6N-13N-62-S318^2021-08-01,A6N-13N-62-S318,TRUE
48,49,1,2022-10-11 20:22:48.487864+00:00,1,A6N-13N-62-S319^2021-08-01,A6N-13N-62-S319,TRUE
49,50,1,2022-10-11 20:22:48.487878+00:00,1,A6N-13N-62-S321^1996-08-13,A6N-13N-62-S321,TRUE
50,51,1,2022-10-11 20:22:48.487904+00:00,1,A6N-13N-62-S322^2021-01-01,A6N-13N-62-S322,TRUE
51,52,1,2022-10-11 20:22:48.487927+00:00,1,A6N-13N-66^2019-04-01,A6N-13N-66,TRUE
52,53,1,2022-10-11 20:22:48.487942+00:00,1,A6N-13N-68^1999-02-01,A6N-13N-68,TRUE
53,54,1,2022-10-11 20:36:16.952697+00:00,1,A6N-13N-62-S301^2022-10-01,A6N-13N-62-S301,TRUE
54,55,1,2022-10-11 20:54:33.913978+00:00,1,A6N-13N-62-S202^2022-10-01,A6N-13N-62-S202,TRUE
