,id,state_change_user_id,state_change_date,state,realty_id,estate_id,percentage
0,1,1,2022-12-13 17:41:16.803992+00:00,1,A6N-13N-62-O1,760010100020700370004000000004,100.0000
1,2,1,2022-12-13 17:41:16.804044+00:00,1,A6N-13N-62-S101,760010100020700370004000000004,100.0000
2,3,1,2022-12-13 17:41:16.804068+00:00,1,A6N-13N-62-S102,760010100020700370004000000004,100.0000
3,4,1,2022-12-13 17:41:16.804088+00:00,1,A6N-13N-62-S103,760010100020700370004000000004,100.0000
4,5,1,2022-12-13 17:41:16.804107+00:00,1,A6N-13N-62-S104,760010100020700370004000000004,100.0000
5,6,1,2022-12-13 17:41:16.804125+00:00,1,A6N-13N-62-S105,760010100020700370004000000004,100.0000
6,7,1,2022-12-13 17:41:16.804143+00:00,1,A6N-13N-62-S106,760010100020700370004000000004,100.0000
7,8,1,2022-12-13 17:41:16.804161+00:00,1,A6N-13N-62-S107,760010100020700370004000000004,100.0000
8,9,1,2022-12-13 17:41:16.804179+00:00,1,A6N-13N-62-S108,760010100020700370004000000004,100.0000
9,10,1,2022-12-13 17:41:16.804196+00:00,1,A6N-13N-62-S109,760010100020700370004000000004,100.0000
10,11,1,2022-12-13 17:41:16.804214+00:00,1,A6N-13N-62-S110,760010100020700370004000000004,100.0000
11,12,1,2022-12-13 17:41:16.804232+00:00,1,A6N-13N-62-S111,760010100020700370004000000004,100.0000
12,13,1,2022-12-13 17:41:16.804249+00:00,1,A6N-13N-62-S112,760010100020700370004000000004,100.0000
13,14,1,2022-12-13 17:41:16.804267+00:00,1,A6N-13N-62-S114,760010100020700370004000000004,100.0000
14,15,1,2022-12-13 17:41:16.804286+00:00,1,A6N-13N-62-S201,760010100020700370004000000004,100.0000
15,16,1,2022-12-13 17:41:16.804304+00:00,1,A6N-13N-62-S202,760010100020700370004000000004,100.0000
16,17,1,2022-12-13 17:41:16.804323+00:00,1,A6N-13N-62-S203,760010100020700370004000000004,100.0000
17,18,1,2022-12-13 17:41:16.804341+00:00,1,A6N-13N-62-S204,760010100020700370004000000004,100.0000
18,19,1,2022-12-13 17:41:16.804359+00:00,1,A6N-13N-62-S205,760010100020700370004000000004,100.0000
19,20,1,2022-12-13 17:41:16.804377+00:00,1,A6N-13N-62-S206,760010100020700370004000000004,100.0000
20,21,1,2022-12-13 17:41:16.804394+00:00,1,A6N-13N-62-S207,760010100020700370004000000004,100.0000
21,22,1,2022-12-13 17:41:16.804412+00:00,1,A6N-13N-62-S208,760010100020700370004000000004,100.0000
22,23,1,2022-12-13 17:41:16.804430+00:00,1,A6N-13N-62-S209,760010100020700370004000000004,100.0000
23,24,1,2022-12-13 17:41:16.804447+00:00,1,A6N-13N-62-S210,760010100020700370004000000004,100.0000
24,25,1,2022-12-13 17:41:16.804464+00:00,1,A6N-13N-62-S211,760010100020700370004000000004,100.0000
25,26,1,2022-12-13 17:41:16.804482+00:00,1,A6N-13N-62-S212,760010100020700370004000000004,100.0000
26,27,1,2022-12-13 17:41:16.804499+00:00,1,A6N-13N-62-S214,760010100020700370004000000004,100.0000
27,28,1,2022-12-13 17:41:16.804516+00:00,1,A6N-13N-62-S215,760010100020700370004000000004,100.0000
28,29,1,2022-12-13 17:41:16.804533+00:00,1,A6N-13N-62-S216,760010100020700370004000000004,100.0000
29,30,1,2022-12-13 17:41:16.804550+00:00,1,A6N-13N-62-S217,760010100020700370004000000004,100.0000
30,31,1,2022-12-13 17:41:16.804567+00:00,1,A6N-13N-62-S218,760010100020700370004000000004,100.0000
31,32,1,2022-12-13 17:41:16.804585+00:00,1,A6N-13N-62-S219,760010100020700370004000000004,100.0000
32,33,1,2022-12-13 17:41:16.804602+00:00,1,A6N-13N-62-S220,760010100020700370004000000004,100.0000
33,34,1,2022-12-13 17:41:16.804619+00:00,1,A6N-13N-62-S221,760010100020700370004000000004,100.0000
34,35,1,2022-12-13 17:41:16.804637+00:00,1,A6N-13N-62-S222,760010100020700370004000000004,100.0000
35,36,1,2022-12-13 17:41:16.804654+00:00,1,A6N-13N-62-S301,760010100020700370004000000004,100.0000
36,37,1,2022-12-13 17:41:16.804671+00:00,1,A6N-13N-62-S302,760010100020700370004000000004,100.0000
37,38,1,2022-12-13 17:41:16.804688+00:00,1,A6N-13N-62-S303,760010100020700370004000000004,100.0000
38,39,1,2022-12-13 17:41:16.804706+00:00,1,A6N-13N-62-S304,760010100020700370004000000004,100.0000
39,40,1,2022-12-13 17:41:16.804723+00:00,1,A6N-13N-62-S305,760010100020700370004000000004,100.0000
40,41,1,2022-12-13 17:41:16.804740+00:00,1,A6N-13N-62-S306,760010100020700370004000000004,100.0000
41,42,1,2022-12-13 17:41:16.804758+00:00,1,A6N-13N-62-S307,760010100020700370004000000004,100.0000
42,43,1,2022-12-13 17:41:16.804775+00:00,1,A6N-13N-62-S308,760010100020700370004000000004,100.0000
43,44,1,2022-12-13 17:41:16.804792+00:00,1,A6N-13N-62-S309,760010100020700370004000000004,100.0000
44,45,1,2022-12-13 17:41:16.804809+00:00,1,A6N-13N-62-S310,760010100020700370004000000004,100.0000
45,46,1,2022-12-13 17:41:16.804826+00:00,1,A6N-13N-62-S311,760010100020700370004000000004,100.0000
46,47,1,2022-12-13 17:41:16.804869+00:00,1,A6N-13N-62-S312,760010100020700370004000000004,100.0000
47,48,1,2022-12-13 17:41:16.804893+00:00,1,A6N-13N-62-S314,760010100020700370004000000004,100.0000
48,49,1,2022-12-13 17:41:16.804913+00:00,1,A6N-13N-62-S315,760010100020700370004000000004,100.0000
49,50,1,2022-12-13 17:41:16.804932+00:00,1,A6N-13N-62-S316,760010100020700370004000000004,100.0000
50,51,1,2022-12-13 17:41:16.804951+00:00,1,A6N-13N-62-S317,760010100020700370004000000004,100.0000
51,52,1,2022-12-13 17:41:16.804969+00:00,1,A6N-13N-62-S318,760010100020700370004000000004,100.0000
52,53,1,2022-12-13 17:41:16.804987+00:00,1,A6N-13N-62-S319,760010100020700370004000000004,100.0000
53,54,1,2022-12-13 17:41:16.805005+00:00,1,A6N-13N-62-S320,760010100020700370004000000004,100.0000
54,55,1,2022-12-13 17:41:16.805022+00:00,1,A6N-13N-62-S321,760010100020700370004000000004,100.0000
55,56,1,2022-12-13 17:41:16.805040+00:00,1,A6N-13N-62-S322,760010100020700370004000000004,100.0000
56,57,1,2022-12-13 17:41:16.805057+00:00,1,A6N-13N-66,760010100020700370004000000004,100.0000
57,58,1,2022-12-13 17:41:16.805075+00:00,1,A6N-13N-68,760010100020700370004000000004,100.0000
58,59,1,2022-12-13 17:41:16.805092+00:00,1,K1-17-37,760010100031300020001000000001,100.0000
