class,code,name
PUC,1,activo
PUC,11,disponible
PUC,1105,caja
PUC,110505,caja general
PUC,110510,cajas menores
PUC,110515,moneda extranjera
PUC,1110,bancos
PUC,111005,moneda nacional
PUC,111010,moneda extranjera
PUC,1115,remesas en transito
PUC,111505,moneda nacional
PUC,111510,moneda extranjera
PUC,1120,cuentas de ahorro
PUC,112005,bancos
PUC,112010,corporaciones de ahorro y vivienda
PUC,112015,organismos cooperativos financieros
PUC,1125,fondos
PUC,112505,rotatorios moneda nacional
PUC,112510,rotatorios moneda extranjera
PUC,112515,especiales moneda nacional
PUC,112520,especiales moneda extranjera
PUC,112525,de amortizacion moneda nacional
PUC,112530,de amortizacion moneda extranjera
PUC,12,inversiones
PUC,1205,acciones
PUC,120505,"agricultura, ganaderia, caza y silvicultura"
PUC,120510,pesca
PUC,120515,explotacion de minas y canteras
PUC,120520,industria manufacturera
PUC,120525,"suministro de electricidad, gas y agua"
PUC,120530,construccion
PUC,120535,comercio al por mayor y al por menor
PUC,120540,hoteles y restaurantes
PUC,120545,"transporte, almacenamiento y comunicaciones"
PUC,120550,actividad financiera
PUC,120555,"actividades inmobiliarias, empresariales y de alquiler"
PUC,120560,enseñanza
PUC,120565,servicios sociales y de salud
PUC,120570,"otras actividades de servicios comunitarios, sociales"
PUC,120599,ajustes por inflacion
PUC,1210,cuotas o partes de interes social
PUC,121005,"agricultura, ganaderia, caza y silvicultura"
PUC,121010,pesca
PUC,121015,explotacion de minas y canteras
PUC,121020,industria manufacturera
PUC,121025,"suministro de electricidad, gas y agua"
PUC,121030,construccion
PUC,121035,comercio al por mayor y al por menor
PUC,121040,hoteles y restaurantes
PUC,121045,"transporte, almacenamiento y comunicaciones"
PUC,121050,actividad financiera
PUC,121055,"actividades inmobiliarias, empresariales y de alquiler"
PUC,121060,enseñanza
PUC,121065,servicios sociales y de salud
PUC,121070,"otras actividades de servicios comunitarios, sociales y personales"
PUC,121099,ajustes por inflacion
PUC,1215,bonos
PUC,121505,bonos publicos moneda nacional
PUC,121510,bonos publicos moneda extranjera
PUC,121515,bonos ordinarios
PUC,121520,bonos convertibles en acciones
PUC,121595,otros
PUC,1220,cedulas
PUC,122005,cedulas de capitalizacion
PUC,122010,cedulas hipotecarias
PUC,122015,cedulas de inversion
PUC,122095,otras
PUC,1225,certificados
PUC,122505,certificados de deposito a termino (c.d.t.)
PUC,122510,certificados de deposito de ahorro
PUC,122515,certificados de ahorro de valor constante (c.a.v.c.)
PUC,122520,certificados de cambio
PUC,122525,certificados cafeteros valorizables
PUC,122530,certificados electricos valorizables (c.e.v.)
PUC,122535,certificados de reembolso tributario (c.e.r.t.)
PUC,122540,certificados de desarrollo turistico
PUC,122545,certificados de inversion forestal (c.i.f.)
PUC,122595,otros
PUC,1230,papeles comerciales
PUC,123005,empresas comerciales
PUC,123010,empresas industriales
PUC,123015,empresas de servicios
PUC,1235,titulos
PUC,123505,titulos de desarrollo agropecuario
PUC,123510,titulos canjeables por certificados de cambio
PUC,123515,titulos de tesoreria (t.e.s.)
PUC,123520,titulos de participacion
PUC,123525,titulos de credito de fomento
PUC,123530,titulos financieros agroindustriales (t.f.a.)
PUC,123535,titulos de ahorro cafetero (t.a.c.)
PUC,123540,titulos de ahorro nacional (t.a.n.)
PUC,123545,titulos energeticos de rentabilidad creciente (t.e.r.)
PUC,123550,titulos de ahorro educativo (t.a.e.)
PUC,123555,titulos financieros  industriales y comerciales
PUC,123560,tesoros
PUC,123565,titulos de devolucion de impuestos nacionales (tidis)
PUC,123570,titulos inmobiliarios
PUC,123595,otros
PUC,1240,aceptaciones bancarias o financieras
PUC,124005,bancos comerciales
PUC,124010,compañias de financiamiento comercial
PUC,124015,corporaciones financieras
PUC,124095,otras
PUC,1245,derechos fiduciarios
PUC,124505,fideicomisos de inversion moneda nacional
PUC,124510,fideicomisos de inversion moneda extranjera
PUC,1250,derechos de recompra de inversiones negociadas (repos)
PUC,125005,acciones
PUC,125010,cuotas o partes de interes social
PUC,125015,bonos
PUC,125020,cedulas
PUC,125025,certificados
PUC,125030,papeles comerciales
PUC,125035,titulos
PUC,125040,aceptaciones bancarias o financieras
PUC,125095,otros
PUC,125099,ajustes por inflacion
PUC,1255,obligatorias
PUC,125505,bonos de financiamiento especial
PUC,125510,bonos de financiamiento presupuestal
PUC,125515,bonos para desarrollo social y seguridad interna (b.d.s.i.)
PUC,125595,otras
PUC,1260,cuentas en participacion
PUC,126099,ajustes por inflacion
PUC,1295,otras inversiones
PUC,129505,aportes en cooperativas
PUC,129510,derechos en clubes sociales
PUC,129515,acciones o derechos en clubes deportivos
PUC,129520,bonos en colegios
PUC,129595,diversas
PUC,129599,ajustes por inflacion
PUC,1299,provisiones
PUC,129905,acciones
PUC,129910,cuotas o partes de interes social
PUC,129915,bonos
PUC,129920,cedulas
PUC,129925,certificados
PUC,129930,papeles comerciales
PUC,129935,titulos
PUC,129940,aceptaciones bancarias o financieras
PUC,129945,derechos fiduciarios
