class,realty,estate,percentage
Realty_Estate,A6N-13N-62-O1,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S101,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S102,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S103,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S104,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S105,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S106,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S107,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S108,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S109,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S110,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S111,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S112,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S114,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S201,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S202,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S203,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S204,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S205,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S206,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S207,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S208,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S209,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S210,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S211,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S212,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S214,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S215,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S216,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S217,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S218,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S219,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S220,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S221,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S222,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S301,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S302,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S303,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S304,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S305,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S306,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S307,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S308,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S309,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S310,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S311,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S312,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S314,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S315,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S316,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S317,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S318,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S319,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S320,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S321,A6N-13N-62,100
Realty_Estate,A6N-13N-62-S322,A6N-13N-62,100
Realty_Estate,A6N-13N-66,A6N-13N-62,100
Realty_Estate,A6N-13N-68,A6N-13N-62,100
Realty_Estate,K1-17-37,C18-1N-39,100
Realty_Estate,K1-17-43,C18-1N-39,100
Realty_Estate,K1-17-47,C18-1N-39,100
Realty_Estate,K1-17-53,C18-1N-39,100
Realty_Estate,K1-17-57,C18-1N-39,100
Realty_Estate,K1-17-65,C18-1N-39,100
Realty_Estate,C18-1N-33,C18-1N-39,100
Realty_Estate,C18-1N-39,C18-1N-39,100
Realty_Estate,C18-1N-41,C18-1N-39,100
Realty_Estate,C18-1N-43,C18-1N-39,100
Realty_Estate,K1B-30-16,K2C-30-3,100
Realty_Estate,K1B-30-34,K2C-30-3,100
Realty_Estate,K1B-30-52,K2C-30-3,100
Realty_Estate,K1B-30-76,K2C-30-3,100
Realty_Estate,K2C-30-3,K2C-30-3,100
Realty_Estate,K2C-30-9,K2C-30-3,100
Realty_Estate,K2C-30-15-B2,K2C-30-3,97.49
Realty_Estate,K2C-30-15-B2,K2C-30-29,2.51
Realty_Estate,K2C-30-15-B3,K2C-30-3,52.69
Realty_Estate,K2C-30-15-B3,K2C-30-29,47.31
Realty_Estate,K2C-30-27,K2C-30-3,57.85
Realty_Estate,K2C-30-27,K2C-30-29,42.15
Realty_Estate,K2C-30-29,K2C-30-3,100
Realty_Estate,K2C-30-51,K2C-30-3,100
Realty_Estate,C30-1B-13,K2C-30-3,100
Realty_Estate,C30-1B-15-B1,K2C-30-3,100
Realty_Estate,C30-1B-15-B2,K2C-30-3,100
Realty_Estate,C30-1B-15-B3,K2C-30-3,100
Realty_Estate,C30-1B-15-B5,K2C-30-3,100
Realty_Estate,C30-1B-27,K2C-30-3,100
Realty_Estate,C30-1B-31,K2C-30-3,100
Realty_Estate,C31-1B-4,K1B-30-76,100
Realty_Estate,C31-1B-24,K2C-30-3,37.76
Realty_Estate,C31-1B-24,K1B-30-76,61.24
Realty_Estate,C31-1B-34,K2C-30-3,32.79
Realty_Estate,C31-1B-34,C31-1B-34,67.21
Realty_Estate,C31-1B-44,K2C-30-3,85.93
Realty_Estate,C31-1B-44,C31-1B-34,12.69
Realty_Estate,C31-1B-44,C31-1B-54,1.38
Realty_Estate,C31-1B-54,C31-1B-54,95.06
Realty_Estate,C31-1B-54,C31-1B-64,4.94
Realty_Estate,C31-1B-64,K2C-30-3,100
Realty_Estate,C31-1B-74,K2C-30-3,100
Realty_Estate,C31-1B-80,K2C-30-3,100
Realty_Estate,K2C-29-36,K2C-29-36,100
Realty_Estate,K1-35-29-B9,K1-35-29,100
Realty_Estate,K1-35-29-B11,K1-35-29,100
