class,realty,estate,percentage
Realty_Estate,A6N-13N-62-O1,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S101,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S102,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S103,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S104,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S105,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S106,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S107,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S108,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S109,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S110,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S111,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S112,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S114,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S201,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S202,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S203,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S204,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S205,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S206,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S207,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S208,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S209,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S210,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S211,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S212,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S214,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S215,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S216,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S217,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S218,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S219,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S220,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S221,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S222,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S301,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S302,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S303,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S304,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S305,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S306,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S307,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S308,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S309,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S310,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S311,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S312,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S314,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S315,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S316,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S317,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S318,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S319,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S320,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S321,760010100020700370004000000004,100
Realty_Estate,A6N-13N-62-S322,760010100020700370004000000004,100
Realty_Estate,A6N-13N-66,760010100020700370004000000004,100
Realty_Estate,A6N-13N-68,760010100020700370004000000004,100
Realty_Estate,K1-17-37,760010100031300020001000000001,100
Realty_Estate,K1-17-43,760010100031300020001000000001,100
Realty_Estate,K1-17-47,760010100031300020001000000001,100
Realty_Estate,K1-17-53,760010100031300020001000000001,100
Realty_Estate,K1-17-57,760010100031300020001000000001,100
Realty_Estate,K1-17-65,760010100031300020001000000001,100
Realty_Estate,C18-1N-33,760010100031300020001000000001,100
Realty_Estate,C18-1N-39,760010100031300020001000000001,100
Realty_Estate,C18-1N-41,760010100031300020001000000001,100
Realty_Estate,C18-1N-43,760010100031300020001000000001,100
Realty_Estate,K1B-30-16,760010100040200230001000000001,100
Realty_Estate,K1B-30-34,760010100040200230001000000001,100
Realty_Estate,K1B-30-52,760010100040200230001000000001,100
Realty_Estate,K1B-30-76,760010100040200230001000000001,100
Realty_Estate,K2C-30-3,760010100040200230001000000001,100
Realty_Estate,K2C-30-9,760010100040200230001000000001,100
Realty_Estate,K2C-30-15-B2,760010100040200230001000000001,97.49
Realty_Estate,K2C-30-15-B2,760010100040200230006000000006,2.51
Realty_Estate,K2C-30-15-B3,760010100040200230001000000001,52.69
Realty_Estate,K2C-30-15-B3,760010100040200230006000000006,47.31
Realty_Estate,K2C-30-27,760010100040200230001000000001,57.85
Realty_Estate,K2C-30-27,760010100040200230006000000006,42.15
Realty_Estate,K2C-30-29,760010100040200230001000000001,100
Realty_Estate,K2C-30-51,760010100040200230001000000001,100
Realty_Estate,C30-1B-13,760010100040200230001000000001,100
Realty_Estate,C30-1B-15-B1,760010100040200230001000000001,100
Realty_Estate,C30-1B-15-B2,760010100040200230001000000001,100
Realty_Estate,C30-1B-15-B3,760010100040200230001000000001,100
Realty_Estate,C30-1B-15-B5,760010100040200230001000000001,100
Realty_Estate,C30-1B-27,760010100040200230001000000001,100
Realty_Estate,C30-1B-31,760010100040200230001000000001,100
Realty_Estate,C31-1B-4,760010100040200230002000000002,100
Realty_Estate,C31-1B-24,760010100040200230001000000001,37.76
Realty_Estate,C31-1B-24,760010100040200230002000000002,61.24
Realty_Estate,C31-1B-34,760010100040200230001000000001,32.79
Realty_Estate,C31-1B-34,760010100040200230003000000003,67.21
