fecha_registro,caja,base,retefuente,iva,reteiva,total,concepto
2022-01-13,003-193-745,500000,0,0,0,500000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S105^2021-09-01
2022-01-13,003-193-745,350000,0,0,0,350000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S105^2021-09-01
2022-01-13,Efectivo,830000,0,0,0,830000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S201^2021-10-01
2022-01-13,Efectivo,638000,0,0,0,638000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S108^2016-12-01
2022-01-13,Efectivo,530000,0,0,0,530000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S110^2021-09-01
2022-01-13,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S311^2021-11-01
2022-01-13,003-193-745,467000,0,0,0,467000,Canon Mensual Arriendo Inmueble^2022-01-08_A6N-13N-62-S211^2017-03-08
2022-01-13,Efectivo,468000,0,0,0,468000,Canon Mensual Arriendo Inmueble^2022-01-09_A6N-13N-62-S219^2004-02-09
2022-01-13,Efectivo,583000,0,0,0,583000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S212^2011-09-01
2022-01-13,003-193-745,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S208^2021-10-01
2022-01-13,Efectivo,790000,0,0,0,790000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S103^2020-06-01
2022-01-13,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S302^2021-08-01
2022-01-13,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S302^2021-08-01
2022-01-13,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S310^2021-12-01
2022-01-13,Efectivo,478000,0,0,0,478000,Canon Mensual Arriendo Inmueble^2021-12-20_A6N-13N-62-S210^2017-03-20
2022-01-13,Efectivo,450000,0,0,0,450000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S109^2021-07-01
2022-01-14,Efectivo,730000,0,0,0,730000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-66^2019-04-01
2022-01-14,Efectivo,290000,0,0,0,290000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S318^2021-08-01
2022-01-14,Efectivo,750000,0,0,0,750000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S205^2020-08-01
2022-01-14,Efectivo,830000,0,0,0,830000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S301^2021-08-01
2022-01-14,Efectivo,940000,0,0,0,940000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S102^2021-10-01
2022-01-14,Efectivo,310000,0,0,0,310000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S315^2019-08-01
2022-01-14,Efectivo,840000,0,0,0,840000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S104^2021-08-01
2022-01-14,Efectivo,300000,0,0,0,300000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S217^2018-12-01
2022-01-14,Efectivo,470000,0,0,0,470000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S319^2021-08-01
2022-01-14,Efectivo,650000,0,0,0,650000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S204^2021-09-01
2022-01-14,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S202^2021-10-01
2022-01-14,Efectivo,530000,0,0,0,530000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S114^2021-09-01
2022-01-14,Efectivo,750000,0,0,0,750000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S305^2021-02-01
