pk,instance
A6N-13N-62-S101^2021-04-01,"[datetime.date(2022, 4, 1)]"
A6N-13N-62-S102^2021-10-01,[]
A6N-13N-62-S103^2020-06-01,"[datetime.date(2021, 6, 1), datetime.date(2022, 6, 1)]"
A6N-13N-62-S104^2021-08-01,[]
A6N-13N-62-S105^2021-09-01,[]
A6N-13N-62-S108^2016-12-01,"[datetime.date(2017, 12, 1), datetime.date(2018, 12, 1), datetime.date(2019, 12, 1), datetime.date(2020, 12, 1), datetime.date(2021, 12, 1)]"
A6N-13N-62-S109^2021-07-01,"[datetime.date(2022, 7, 1)]"
A6N-13N-62-S110^2021-09-01,[]
A6N-13N-62-S114^2021-09-01,[]
A6N-13N-62-S201^2021-10-01,[]
A6N-13N-62-S202^2021-10-01,[]
A6N-13N-62-S203^2022-04-01,[]
A6N-13N-62-S204^2021-09-01,[]
A6N-13N-62-S205^2020-08-01,"[datetime.date(2021, 8, 1)]"
A6N-13N-62-S207^2004-03-01,"[datetime.date(2005, 3, 1), datetime.date(2006, 3, 1), datetime.date(2007, 3, 1), datetime.date(2008, 3, 1), datetime.date(2009, 3, 1), datetime.date(2010, 3, 1), datetime.date(2011, 3, 1), datetime.date(2012, 3, 1), datetime.date(2013, 3, 1), datetime.date(2014, 3, 1), datetime.date(2015, 3, 1), datetime.date(2016, 3, 1), datetime.date(2017, 3, 1), datetime.date(2018, 3, 1), datetime.date(2019, 3, 1), datetime.date(2020, 3, 1), datetime.date(2021, 3, 1), datetime.date(2022, 3, 1)]"
A6N-13N-62-S208^2020-10-01,"[datetime.date(2021, 10, 1)]"
A6N-13N-62-S209^2006-03-21,"[datetime.date(2007, 3, 21), datetime.date(2008, 3, 21), datetime.date(2009, 3, 21), datetime.date(2010, 3, 21), datetime.date(2011, 3, 21), datetime.date(2012, 3, 21), datetime.date(2013, 3, 21), datetime.date(2014, 3, 21), datetime.date(2015, 3, 21), datetime.date(2016, 3, 21), datetime.date(2017, 3, 21), datetime.date(2018, 3, 21), datetime.date(2019, 3, 21), datetime.date(2020, 3, 21), datetime.date(2021, 3, 21), datetime.date(2022, 3, 21)]"
A6N-13N-62-S210^2017-03-20,"[datetime.date(2018, 3, 20), datetime.date(2019, 3, 20), datetime.date(2020, 3, 20), datetime.date(2021, 3, 20), datetime.date(2022, 3, 20)]"
A6N-13N-62-S211^2017-03-20,"[datetime.date(2018, 3, 20), datetime.date(2019, 3, 20), datetime.date(2020, 3, 20), datetime.date(2021, 3, 20), datetime.date(2022, 3, 20)]"
A6N-13N-62-S212^2011-09-01,"[datetime.date(2012, 9, 1), datetime.date(2013, 9, 1), datetime.date(2014, 9, 1), datetime.date(2015, 9, 1), datetime.date(2016, 9, 1), datetime.date(2017, 9, 1), datetime.date(2018, 9, 1), datetime.date(2019, 9, 1), datetime.date(2020, 9, 1), datetime.date(2021, 9, 1)]"
A6N-13N-62-S214^2018-10-01,"[datetime.date(2019, 10, 1), datetime.date(2020, 10, 1), datetime.date(2021, 10, 1)]"
A6N-13N-62-S217^2018-12-01,"[datetime.date(2019, 12, 1), datetime.date(2020, 12, 1), datetime.date(2021, 12, 1)]"
A6N-13N-62-S219^2004-02-09,"[datetime.date(2005, 2, 9), datetime.date(2006, 2, 9), datetime.date(2007, 2, 9), datetime.date(2008, 2, 9), datetime.date(2009, 2, 9), datetime.date(2010, 2, 9), datetime.date(2011, 2, 9), datetime.date(2012, 2, 9), datetime.date(2013, 2, 9), datetime.date(2014, 2, 9), datetime.date(2015, 2, 9), datetime.date(2016, 2, 9), datetime.date(2017, 2, 9), datetime.date(2018, 2, 9), datetime.date(2019, 2, 9), datetime.date(2020, 2, 9), datetime.date(2021, 2, 9), datetime.date(2022, 2, 9)]"
