code,name,errors
1,activo,[]
11,disponible,[]
1105,caja,[]
110505,caja general,[]
110510,cajas menores,[]
110515,moneda extranjera,[]
1110,bancos,[]
111005,moneda nacional,[]
111010,moneda extranjera,[]
1115,remesas en transito,[]
111505,moneda nacional,[]
111510,moneda extranjera,[]
1120,cuentas de ahorro,[]
112005,bancos,[]
112010,corporaciones de ahorro y vivienda,[]
112015,organismos cooperativos financieros,[]
1125,fondos,[]
112505,rotatorios moneda nacional,[]
112510,rotatorios moneda extranjera,[]
112515,especiales moneda nacional,[]
112520,especiales moneda extranjera,[]
112525,de amortizacion moneda nacional,[]
112530,de amortizacion moneda extranjera,[]
12,inversiones,[]
1205,acciones,[]
120505,"agricultura, ganaderia, caza y silvicultura",[]
120510,pesca,[]
120515,explotacion de minas y canteras,[]
120520,industria manufacturera,[]
120525,"suministro de electricidad, gas y agua",[]
120530,construccion,[]
120535,comercio al por mayor y al por menor,[]
120540,hoteles y restaurantes,[]
120545,"transporte, almacenamiento y comunicaciones",[]
120550,actividad financiera,[]
120555,"actividades inmobiliarias, empresariales y de alquiler",[]
120560,enseñanza,[]
120565,servicios sociales y de salud,[]
120570,"otras actividades de servicios comunitarios, sociales",[]
120599,ajustes por inflacion,[]
1210,cuotas o partes de interes social,[]
121005,"agricultura, ganaderia, caza y silvicultura",[]
121010,pesca,[]
121015,explotacion de minas y canteras,[]
121020,industria manufacturera,[]
121025,"suministro de electricidad, gas y agua",[]
121030,construccion,[]
121035,comercio al por mayor y al por menor,[]
121040,hoteles y restaurantes,[]
121045,"transporte, almacenamiento y comunicaciones",[]
121050,actividad financiera,[]
121055,"actividades inmobiliarias, empresariales y de alquiler",[]
121060,enseñanza,[]
121065,servicios sociales y de salud,[]
121070,"otras actividades de servicios comunitarios, sociales y personales",[]
121099,ajustes por inflacion,[]
1215,bonos,[]
121505,bonos publicos moneda nacional,[]
121510,bonos publicos moneda extranjera,[]
121515,bonos ordinarios,[]
121520,bonos convertibles en acciones,[]
121595,otros,[]
