id_number,id_type,type,name,complete_name,person_ptr_id,legal_type,errors
900244841,1,1,Actividades Textiles,Actividades Textiles S.A.S.,900244841,1,"[16, 27, 29]"
890904130,1,1,Alimentos Carnicos,Alimentos Carnicos S.A.S.,890904130,1,"[16, 27, 29]"
890304130,1,1,Alimentos Carnicos,Alimentos Carnicos S.A.S.,890304130,1,"[17, 28, 29, 20]"
901012053,1,1,Andiplast Envases,Andiplast Envases S.A.S.,901012053,1,"[16, 27, 29]"
900858114,1,1,Arquimaderas,Arquimaderas S.A.S.,900858114,1,"[17, 27, 29, 20]"
901012767,1,1,Asoboce,Asoboce S.A.S.,901012767,1,"[16, 27, 29]"
901393460,1,1,Bio Ambar,Bio Ambar S.A.S.,901393460,1,"[17, 28, 29, 20]"
900961321,1,1,Cocoambiental,Cocoambiental S.A.S.,900961321,1,"[16, 27, 29]"
800017469,1,1,Comercializadora Omega,Comercializadora Omega LTDA.,800017469,2,"[17, 28, 29, 20]"
800219204,1,1,Coragro,Coragro S.A.,800219204,0,"[17, 28, 14, 29, 20]"
800136505,1,1,Datecsa,Datecsa S.A.,800136505,0,"[17, 27, 14, 29, 20]"
900206937,1,1,Del Corte Mobiliari,Del Corte Mobiliari S.A.S.,900206937,1,"[16, 27, 29]"
901257178,1,1,Diesel Lujo Ferreteria Al Costo,Diesel Lujo Ferreteria Al Costo S.A.S.,901257178,1,"[17, 27, 29, 20]"
900042300,1,1,Distriferretera de Colombia,Distriferretera de Colombia S.A.S.,900042300,1,"[17, 28, 29, 20]"
890323635,1,1,El Comercio ELectrico,El Comercio ELectrico LTDA.,890323635,2,"[17, 27, 29, 20]"
901439406,1,1,Electo Iluminaciones EH,Electo Iluminaciones EH S.A.S.,901439406,1,"[17, 27, 29, 20]"
890304345,1,1,Electricos del Valle,Electricos del Valle S.A.,890304345,0,"[17, 27, 14, 29, 20]"
901462569,1,1,Ferreteria 5A Norte,Ferreteria 5A Norte S.A.S.,901462569,1,"[17, 27, 29, 20]"
890308587,1,1,Ferreteria Barbosa y Cia,Ferreteria Barbosa y Cia S.A.S.,890308587,1,"[17, 27, 29, 20]"
860067998,1,1,Ferreteria Miltialambres,Ferreteria Miltialambres S.A.S.,860067998,1,"[17, 27, 29, 20]"
805018771,1,1,"Ferreteria,Pinturas Y Productos Agropecuarios","Ferreteria,Pinturas Y Productos Agropecuarios LTDA.",805018771,2,"[17, 28, 29, 20]"
901042248,1,1,Ferretornillos Arlex,Ferretornillos Arlex S.A.S.,901042248,1,"[17, 27, 29, 20]"
805020753,1,1,Frenos y Direcciones Valencia D.Y Cia,Frenos y Direcciones Valencia D.Y Cia LTDA.,805020753,2,"[17, 28, 29, 20]"
900346960,1,1,Global Tennis,Global Tennis S.A.S.,900346960,1,"[16, 27, 29]"
900087432,1,1,Granos y Proteinas,Granos y Proteinas S.A.S.,900087432,1,"[16, 27, 29]"
900420715,1,1,Grupo Empresarial Silver,Grupo Empresarial Silver S.A.S.,900420715,1,"[17, 27, 29, 20]"
901159918,1,1,Ingeideas Laser,Ingeideas Laser S.A.S.,901159918,1,"[17, 28, 29, 20]"
805001597,1,1,Innovaciones Plasticas,Innovaciones Plasticas S.A.S.,805001597,1,"[16, 27, 29]"
901149951,1,1,La Bodeguita Cotic,La Bodeguita Cotic S.A.S.,901149951,1,"[17, 27, 29, 20]"
900292996,1,1,Los Alamillos,Los Alamillos S.A.,900292996,0,"[17, 28, 14, 29, 20]"
900582366,1,1,Maquinpro de Colombia,Maquinpro de Colombia S.A.S.,900582366,1,"[16, 27, 29]"
900245885,1,1,Mulplast,Mulplast S.A.S.,900245885,1,"[16, 27, 29]"
901063279,1,1,O´Celeste,O´Celeste S.A.S.,901063279,1,"[16, 28, 29, 20]"
900672393,1,1,Palmiplast Industrias,Palmiplast Industrias S.A.S.,900672393,1,"[16, 27, 29]"
830134857,1,1,Prodeplasticos,Prodeplasticos S.A.S.,830134857,1,"[16, 27, 29]"
890328485,1,1,Productos de Caucho y Lona,Productos de Caucho y Lona S.A.S.,890328485,1,"[16, 27, 29]"
900575356,1,1,QW Health de Colombia,QW Health de Colombia S.A.S.,900575356,1,"[16, 27, 29]"
890930227,1,1,ROR Ingenieria,ROR Ingenieria S.A.S.,890930227,1,"[16, 27, 29]"
890204680,1,1,Representaciones Especiales,Representaciones Especiales LTDA.,890204680,2,"[16, 27, 29]"
901411596,1,1,Sepia Arte y Diseño,Sepia Arte y Diseño S.A.S.,901411596,1,"[27, 29]"
900570334,1,1,Someda Intagrated,Someda Intagrated S.A.S.,900570334,1,"[16, 27, 29]"
900690709,1,1,Transporte Carlos A. Collazos,Transporte Carlos A. Collazos S.A.S.,900690709,1,"[17, 28, 29, 20]"
805004110,1,1,Uniescolar Papeleria,Uniescolar Papeleria LTDA.,805004110,2,"[17, 27, 29, 20]"
900719717,1,1,Universal de Aceros y Trifilados,Universal de Aceros y Trifilados S.A.S.,900719717,1,"[16, 27, 29]"
