id,state,accountable_id,date,value,errors
7,1,C18-1N-41^2021-02-01,2021-02-01,2900000,[]
8,1,K1-17-43^2017-07-15,2017-07-15,1717000,[]
9,1,K1-17-37^2012-02-01,2012-02-01,1520000,[]
10,1,C18-1N-39^2022-03-01,2022-03-01,1000000,[]
11,1,C18-1N-33^2021-10-01,2021-10-01,950000,[]
12,1,K1-17-53^2017-06-01,2017-06-01,1785000,[]
13,1,K1-17-57^2001-09-01,2001-09-01,2450000,[]
14,1,K1-17-47^2021-10-01,2021-10-01,1800000,[]
15,1,C31-1B-74^2012-12-07,2012-12-07,3766000,[]
16,1,C31-1B-64^2018-12-01,2018-12-01,3800000,[]
17,1,C31-1B-24^2016-02-15,2016-02-15,3620000,[]
18,1,C31-1B-54^2016-02-15,2016-02-15,3620000,[]
19,1,C31-1B-44^2013-12-03,2013-12-03,3850000,[]
20,1,C31-1B-4^2009-01-01,2009-01-01,8427658,[]
21,1,K2C-30-15-B2^2019-07-01,2019-07-01,5500000,[]
22,1,C31-1B-34^2004-08-01,2004-08-01,5450000,[]
23,1,C31-1B-24^2018-05-01,2018-05-01,4274000,[]
24,1,K1B-30-52^1970-01-01,1970-01-01,2337000,[]
25,1,K1B-30-52^2018-05-01,2018-05-01,2337000,[]
26,1,K2C-30-29^2019-11-01,2019-11-01,5950000,[]
27,1,K2C-30-27^2020-10-01,2020-10-01,4100000,[]
28,1,C30-1B-31^2019-11-01,2019-11-01,4220000,[]
29,1,C30-1B-27^2014-09-01,2014-09-01,4275000,[]
30,1,C30-1B-15-B3^2017-10-01,2017-10-01,670000,[]
31,1,C30-1B-15-B2^2013-04-15,2013-04-15,910000,[]
32,1,C30-1B-15-B1^2020-11-01,2020-11-01,650000,[]
33,1,K2C-30-51^2021-12-01,2021-12-01,2500000,[]
34,1,C30-1B-15-B5^2019-04-01,2019-04-01,650000,[]
35,1,K1B-30-16^2006-05-10,2006-05-10,4390000,[]
36,1,K1B-30-34^2013-09-01,2013-09-01,6600000,[]
37,1,K1-35-29-B11^2020-08-01,2020-08-01,4700000,[]
38,1,K1-35-29-B9^2021-09-01,2021-09-01,4500000,[]
39,1,C30-1B-13^2017-05-01,2017-05-01,760000,[]
40,1,K2C-29-36^2017-04-01,2017-04-01,3010000,[]
41,1,A6N-13N-66^2019-04-01,2019-04-01,730000,[]
42,1,A6N-13N-68^1999-02-01,1999-01-01,2600000,[]
43,1,A6N-13N-62-S101^2021-04-01,2021-04-01,1100000,[]
44,1,A6N-13N-62-S102^2021-10-01,2021-10-01,940000,[]
45,1,A6N-13N-62-S104^2021-08-01,2021-08-01,840000,[]
46,1,A6N-13N-62-S103^2020-06-01,2020-06-01,790000,[]
47,1,A6N-13N-62-S105^2021-09-01,2021-09-01,850000,[]
48,1,C31-1B-80^2013-06-01,2013-06-01,1625000,[]
49,1,K2C-30-15-B3^2013-06-01,2013-06-01,2185000,[]
50,1,A6N-13N-62-S108^2016-12-01,2016-12-01,538000,[]
51,1,A6N-13N-62-S109^2021-07-01,2021-07-01,450000,[]
52,1,A6N-13N-62-S110^2021-09-01,2021-09-01,530000,[]
53,1,A6N-13N-62-S114^2021-09-01,2021-09-01,530000,[]
54,1,A6N-13N-62-S201^2021-10-01,2021-10-01,830000,[]
55,1,A6N-13N-62-S202^2021-10-01,2021-10-01,700000,[]
56,1,A6N-13N-62-S203^2022-04-01,2022-04-01,700000,[]
57,1,A6N-13N-62-S204^2021-09-01,2021-09-01,650000,[]
58,1,A6N-13N-62-S207^2004-03-01,2004-03-01,485000,[]
59,1,A6N-13N-62-S205^2020-08-01,2020-08-01,750000,[]
60,1,A6N-13N-62-S208^2020-10-01,2020-10-01,390000,[]
61,1,A6N-13N-62-S209^2006-03-21,2006-03-21,465000,[]
62,1,A6N-13N-62-S210^2017-03-20,2017-03-20,478000,[]
63,1,A6N-13N-62-S211^2017-03-20,2017-03-20,467000,[]
64,1,A6N-13N-62-S212^2011-09-01,2011-09-01,583000,[]
65,1,A6N-13N-62-S214^2018-10-01,2018-10-01,467000,[]
66,1,A6N-13N-62-S217^2018-12-01,2018-12-01,496000,[]
67,1,A6N-13N-62-S219^2004-02-09,2004-02-09,468000,[]
68,1,A6N-13N-62-S221^2018-06-15,2018-06-15,342000,[]
69,1,A6N-13N-62-S301^2021-08-01,2021-08-01,830000,[]
70,1,A6N-13N-62-S302^2021-08-01,2021-08-01,700000,[]
71,1,A6N-13N-62-S303^2022-03-01,2022-03-01,700000,[]
72,1,A6N-13N-62-S304^2022-04-01,2022-04-01,700000,[]
73,1,A6N-13N-62-S305^2021-02-01,2021-02-01,850000,[]
74,1,A6N-13N-62-S306^2018-06-01,2018-06-01,458000,[]
75,1,A6N-13N-62-S308^2022-03-01,2022-03-01,390000,[]
76,1,A6N-13N-62-S309^2022-03-01,2022-03-01,390000,[]
77,1,A6N-13N-62-S311^2021-11-01,2021-11-01,390000,[]
78,1,A6N-13N-62-S312^2007-06-01,2007-06-01,490000,[]
79,1,A6N-13N-62-S314^2019-06-01,2019-06-01,455000,[]
