state,code,name,errors
1,1,activo,[]
1,11,disponible,[]
1,1105,caja,[]
1,110505,caja general,[]
1,110510,cajas menores,[]
1,110515,moneda extranjera,[]
1,1110,bancos,[]
1,111005,moneda nacional,[]
1,111010,moneda extranjera,[]
1,1115,remesas en transito,[]
1,111505,moneda nacional,[]
1,111510,moneda extranjera,[]
1,1120,cuentas de ahorro,[]
1,112005,bancos,[]
1,112010,corporaciones de ahorro y vivienda,[]
1,112015,organismos cooperativos financieros,[]
1,1125,fondos,[]
1,112505,rotatorios moneda nacional,[]
1,112510,rotatorios moneda extranjera,[]
1,112515,especiales moneda nacional,[]
1,112520,especiales moneda extranjera,[]
1,112525,de amortizacion moneda nacional,[]
1,112530,de amortizacion moneda extranjera,[]
1,12,inversiones,[]
1,1205,acciones,[]
1,120505,"agricultura, ganaderia, caza y silvicultura",[]
1,120510,pesca,[]
1,120515,explotacion de minas y canteras,[]
1,120520,industria manufacturera,[]
1,120525,"suministro de electricidad, gas y agua",[]
1,120530,construccion,[]
1,120535,comercio al por mayor y al por menor,[]
1,120540,hoteles y restaurantes,[]
1,120545,"transporte, almacenamiento y comunicaciones",[]
1,120550,actividad financiera,[]
1,120555,"actividades inmobiliarias, empresariales y de alquiler",[]
1,120560,enseñanza,[]
1,120565,servicios sociales y de salud,[]
1,120570,"otras actividades de servicios comunitarios, sociales",[]
1,120599,ajustes por inflacion,[]
1,1210,cuotas o partes de interes social,[]
1,121005,"agricultura, ganaderia, caza y silvicultura",[]
1,121010,pesca,[]
1,121015,explotacion de minas y canteras,[]
1,121020,industria manufacturera,[]
1,121025,"suministro de electricidad, gas y agua",[]
1,121030,construccion,[]
1,121035,comercio al por mayor y al por menor,[]
1,121040,hoteles y restaurantes,[]
1,121045,"transporte, almacenamiento y comunicaciones",[]
1,121050,actividad financiera,[]
1,121055,"actividades inmobiliarias, empresariales y de alquiler",[]
1,121060,enseñanza,[]
1,121065,servicios sociales y de salud,[]
1,121070,"otras actividades de servicios comunitarios, sociales y personales",[]
1,121099,ajustes por inflacion,[]
1,1215,bonos,[]
1,121505,bonos publicos moneda nacional,[]
1,121510,bonos publicos moneda extranjera,[]
1,121515,bonos ordinarios,[]
1,121520,bonos convertibles en acciones,[]
1,121595,otros,[]
1,1220,cedulas,[]
1,122005,cedulas de capitalizacion,[]
1,122010,cedulas hipotecarias,[]
1,122015,cedulas de inversion,[]
1,122095,otras,[]
1,1225,certificados,[]
1,122505,certificados de deposito a termino (c.d.t.),[]
1,122510,certificados de deposito de ahorro,[]
1,122515,certificados de ahorro de valor constante (c.a.v.c.),[]
1,122520,certificados de cambio,[]
1,122525,certificados cafeteros valorizables,[]
1,122530,certificados electricos valorizables (c.e.v.),[]
1,122535,certificados de reembolso tributario (c.e.r.t.),[]
1,122540,certificados de desarrollo turistico,[]
1,122545,certificados de inversion forestal (c.i.f.),[]
1,122595,otros,[]
1,1230,papeles comerciales,[]
1,123005,empresas comerciales,[]
1,123010,empresas industriales,[]
1,123015,empresas de servicios,[]
1,1235,titulos,[]
1,123505,titulos de desarrollo agropecuario,[]
1,123510,titulos canjeables por certificados de cambio,[]
1,123515,titulos de tesoreria (t.e.s.),[]
1,123520,titulos de participacion,[]
1,123525,titulos de credito de fomento,[]
1,123530,titulos financieros agroindustriales (t.f.a.),[]
1,123535,titulos de ahorro cafetero (t.a.c.),[]
1,123540,titulos de ahorro nacional (t.a.n.),[]
1,123545,titulos energeticos de rentabilidad creciente (t.e.r.),[]
1,123550,titulos de ahorro educativo (t.a.e.),[]
1,123555,titulos financieros  industriales y comerciales,[]
1,123560,tesoros,[]
1,123565,titulos de devolucion de impuestos nacionales (tidis),[]
1,123570,titulos inmobiliarios,[]
1,123595,otros,[]
1,1240,aceptaciones bancarias o financieras,[]
1,124005,bancos comerciales,[]
1,124010,compañias de financiamiento comercial,[]
1,124015,corporaciones financieras,[]
1,124095,otras,[]
1,1245,derechos fiduciarios,[]
1,124505,fideicomisos de inversion moneda nacional,[]
1,124510,fideicomisos de inversion moneda extranjera,[]
1,1250,derechos de recompra de inversiones negociadas (repos),[]
1,125005,acciones,[]
1,125010,cuotas o partes de interes social,[]
1,125015,bonos,[]
1,125020,cedulas,[]
1,125025,certificados,[]
1,125030,papeles comerciales,[]
1,125035,titulos,[]
1,125040,aceptaciones bancarias o financieras,[]
1,125095,otros,[]
1,125099,ajustes por inflacion,[]
1,1255,obligatorias,[]
1,125505,bonos de financiamiento especial,[]
1,125510,bonos de financiamiento presupuestal,[]
1,125515,bonos para desarrollo social y seguridad interna (b.d.s.i.),[]
1,125595,otras,[]
1,1260,cuentas en participacion,[]
1,126099,ajustes por inflacion,[]
1,1295,otras inversiones,[]
1,129505,aportes en cooperativas,[]
1,129510,derechos en clubes sociales,[]
1,129515,acciones o derechos en clubes deportivos,[]
1,129520,bonos en colegios,[]
1,129595,diversas,[]
1,129599,ajustes por inflacion,[]
1,1299,provisiones,[]
1,129905,acciones,[]
1,129910,cuotas o partes de interes social,[]
1,129915,bonos,[]
1,129920,cedulas,[]
1,129925,certificados,[]
1,129930,papeles comerciales,[]
1,129935,titulos,[]
1,129940,aceptaciones bancarias o financieras,[]
1,129945,derechos fiduciarios,[]
1,129950,derechos de recompra de inversiones negociadas,[]
1,129955,obligatorias,[]
1,129960,cuentas en participacion,[]
1,129995,otras inversiones,[]
1,13,deudores,[]
1,1305,clientes,[]
1,130505,nacionales,[]
1,130510,del exterior,[]
1,130515,deudores del sistema,[]
1,1310,cuentas corrientes comerciales,[]
1,131005,casa matriz,[]
1,131010,compañias vinculadas,[]
1,131015,accionistas o socios,[]
1,131020,particulares,[]
1,131095,otras,[]
1,1315,cuentas por cobrar a casa matriz,[]
1,131505,ventas,[]
1,131510,pagos a nombre de casa matriz,[]
1,131515,valores recibidos por casa matriz,[]
1,131520,prestamos,[]
1,1320,cuentas por cobrar a vinculados economicos,[]
1,132005,filiales,[]
1,132010,subsidiarias,[]
1,132015,sucursales,[]
1,1325,cuentas por cobrar a socios y accionistas,[]
1,132505,a socios,[]
1,132510,a accionistas,[]
1,1328,aportes por cobrar,[]
1,1330,anticipos y avances,[]
1,133005,a proveedores,[]
1,133010,a contratistas,[]
1,133015,a trabajadores,[]
1,133020,a agentes,[]
1,133025,a concesionarios,[]
1,133030,de adjudicaciones,[]
1,133095,otros,[]
1,1332,cuentas de operacion conjunta,[]
1,1335,depositos,[]
1,133505,para importaciones,[]
1,133510,para servicios,[]
1,133515,para contratos,[]
1,133520,para responsabilidades,[]
1,133525,para juicios ejecutivos,[]
1,133530,"para adquisicion de acciones, cuotas o derechos",[]
1,133535,en garantia,[]
1,133595,otros,[]
1,1340,promesas de compra venta,[]
1,134005,de bienes raices,[]
1,134010,de maquinaria y equipo,[]
1,134015,de flota y equipo de transporte,[]
1,134020,de flota y equipo aereo,[]
1,134025,de flota y equipo ferreo,[]
1,134030,de flota y equipo fluvial y/o maritimo,[]
1,134035,de semovientes,[]
1,134095,de otros bienes,[]
1,1345,ingresos por cobrar,[]
1,134505,dividendos y/o participaciones,[]
1,134510,intereses,[]
1,134515,comisiones,[]
1,134520,honorarios,[]
1,134525,servicios,[]
1,134530,arrendamientos,[]
1,134535,cert por cobrar,[]
1,134595,otros,[]
1,1350,retencion sobre contratos,[]
1,135005,de construccion,[]
1,135010,de prestacion de servicios,[]
1,135095,otros,[]
1,1355,anticipo de impuestos y contribuciones o saldos a favor,[]
