state,type,use,code,address_id,total_area,errors
1,2,1,A6N-13N-62-O1,A6N-13N-62-O1,79,[]
1,9,0,A6N-13N-62-S101,A6N-13N-62-S101,55,[]
1,9,0,A6N-13N-62-S102,A6N-13N-62-S102,45,[]
1,9,0,A6N-13N-62-S103,A6N-13N-62-S103,31,[]
1,9,0,A6N-13N-62-S104,A6N-13N-62-S104,40,[]
1,9,0,A6N-13N-62-S105,A6N-13N-62-S105,40,[]
1,9,0,A6N-13N-62-S106,A6N-13N-62-S106,52,[]
1,9,0,A6N-13N-62-S107,A6N-13N-62-S107,46,[]
1,9,0,A6N-13N-62-S108,A6N-13N-62-S108,45,[]
1,9,0,A6N-13N-62-S109,A6N-13N-62-S109,45,[]
1,9,0,A6N-13N-62-S110,A6N-13N-62-S110,44,[]
1,9,0,A6N-13N-62-S111,A6N-13N-62-S111,43,[]
1,9,0,A6N-13N-62-S112,A6N-13N-62-S112,43,[]
1,9,0,A6N-13N-62-S114,A6N-13N-62-S114,41,[]
1,9,0,A6N-13N-62-S201,A6N-13N-62-S201,35,[]
1,9,0,A6N-13N-62-S202,A6N-13N-62-S202,28,[]
1,9,0,A6N-13N-62-S203,A6N-13N-62-S203,23,[]
1,9,0,A6N-13N-62-S204,A6N-13N-62-S204,25,[]
1,9,0,A6N-13N-62-S205,A6N-13N-62-S205,28,[]
1,9,0,A6N-13N-62-S206,A6N-13N-62-S206,34,[]
1,9,0,A6N-13N-62-S207,A6N-13N-62-S207,34,[]
1,9,0,A6N-13N-62-S208,A6N-13N-62-S208,34,[]
1,9,0,A6N-13N-62-S209,A6N-13N-62-S209,34,[]
1,9,0,A6N-13N-62-S210,A6N-13N-62-S210,34,[]
1,9,0,A6N-13N-62-S211,A6N-13N-62-S211,34,[]
1,9,0,A6N-13N-62-S212,A6N-13N-62-S212,35,[]
1,9,0,A6N-13N-62-S214,A6N-13N-62-S214,36,[]
1,9,0,A6N-13N-62-S215,A6N-13N-62-S215,2,[]
1,9,0,A6N-13N-62-S216,A6N-13N-62-S216,36,[]
1,9,0,A6N-13N-62-S217,A6N-13N-62-S217,40,[]
1,9,0,A6N-13N-62-S218,A6N-13N-62-S218,33,[]
1,9,0,A6N-13N-62-S219,A6N-13N-62-S219,41,[]
1,9,0,A6N-13N-62-S220,A6N-13N-62-S220,32,[]
1,9,0,A6N-13N-62-S221,A6N-13N-62-S221,30,[]
1,9,0,A6N-13N-62-S222,A6N-13N-62-S222,31,[]
1,9,0,A6N-13N-62-S301,A6N-13N-62-S301,35,[]
1,9,0,A6N-13N-62-S302,A6N-13N-62-S302,28,[]
1,9,0,A6N-13N-62-S303,A6N-13N-62-S303,23,[]
1,9,0,A6N-13N-62-S304,A6N-13N-62-S304,25,[]
1,9,0,A6N-13N-62-S305,A6N-13N-62-S305,28,[]
1,9,0,A6N-13N-62-S306,A6N-13N-62-S306,34,[]
1,9,0,A6N-13N-62-S307,A6N-13N-62-S307,34,[]
1,9,0,A6N-13N-62-S308,A6N-13N-62-S308,34,[]
1,9,0,A6N-13N-62-S309,A6N-13N-62-S309,34,[]
1,9,0,A6N-13N-62-S310,A6N-13N-62-S310,34,[]
1,9,0,A6N-13N-62-S311,A6N-13N-62-S311,34,[]
1,9,0,A6N-13N-62-S312,A6N-13N-62-S312,35,[]
1,9,0,A6N-13N-62-S314,A6N-13N-62-S314,36,[]
1,9,0,A6N-13N-62-S315,A6N-13N-62-S315,22,[]
1,9,0,A6N-13N-62-S316,A6N-13N-62-S316,25,[]
1,9,0,A6N-13N-62-S317,A6N-13N-62-S317,31,[]
1,9,0,A6N-13N-62-S318,A6N-13N-62-S318,25,[]
1,9,0,A6N-13N-62-S319,A6N-13N-62-S319,41,[]
1,9,0,A6N-13N-62-S320,A6N-13N-62-S320,32,[]
1,9,0,A6N-13N-62-S321,A6N-13N-62-S321,30,[]
1,9,0,A6N-13N-62-S322,A6N-13N-62-S322,31,[]
1,1,1,A6N-13N-66,A6N-13N-66,120,[]
1,1,1,A6N-13N-68,A6N-13N-68,31,[]
1,3,2,C18-1N-33,C18-1N-33,126,[]
1,3,2,C18-1N-39,C18-1N-39,324,[]
1,3,2,C18-1N-41,C18-1N-41,326,[]
1,3,2,C18-1N-43,C18-1N-43,214,[]
1,3,2,C30-1B-13,C30-1B-13,70,[]
1,3,2,C30-1B-15-B1,C30-1B-15-B1,82,[]
1,3,2,C30-1B-15-B2,C30-1B-15-B2,131,[]
1,3,2,C30-1B-15-B3,C30-1B-15-B3,132,[]
1,3,2,C30-1B-15-B5,C30-1B-15-B5,121,[]
1,3,2,C30-1B-27,C30-1B-27,505,[]
1,3,2,C30-1B-31,C30-1B-31,480,[]
1,3,2,C31-1B-24,C31-1B-24,679,[129]
1,3,2,C31-1B-34,C31-1B-34,722,[]
1,3,2,C31-1B-4,C31-1B-4,986,[]
1,3,2,C31-1B-44,C31-1B-44,513,[]
1,3,2,C31-1B-54,C31-1B-54,464,[]
1,3,2,C31-1B-64,C31-1B-64,416,[]
1,3,2,C31-1B-74,C31-1B-74,454,[]
1,3,2,C31-1B-80,C31-1B-80,288,[]
1,1,1,K1-17-37,K1-17-37,116,[]
1,1,1,K1-17-43,K1-17-43,145,[]
1,1,1,K1-17-47,K1-17-47,145,[]
1,1,1,K1-17-53,K1-17-53,145,[]
1,1,1,K1-17-57,K1-17-57,257,[]
1,1,1,K1-17-65,K1-17-65,600,[]
1,3,2,K1-35-29-B11,K1-35-29-B11,555,[]
1,3,2,K1-35-29-B9,K1-35-29-B9,522,[]
1,3,2,K1B-30-16,K1B-30-16,486,[]
1,3,2,K1B-30-34,K1B-30-34,864,[]
1,3,2,K1B-30-52,K1B-30-52,243,[]
1,3,2,K1B-30-76,K1B-30-76,260,[]
1,3,2,K2C-29-36,K2C-29-36,304,[]
1,3,2,K2C-30-15-B2,K2C-30-15-B2,1117,[]
1,3,2,K2C-30-15-B3,K2C-30-15-B3,372,[]
1,3,2,K2C-30-27,K2C-30-27,484,[]
1,3,2,K2C-30-29,K2C-30-29,639,[]
1,3,2,K2C-30-3,K2C-30-3,670,[]
1,3,2,K2C-30-51,K2C-30-51,320,[]
1,3,2,K2C-30-9,K2C-30-9,450,[]
