id,ledger,ledger__date,concept__accountable,account,account__name,concept__date,value,priority,due_value,due_age
2542,FV-00000569,2022-12-01,A6N-13N-62-O1^2015-01-01,13802005,Arrendamientos Inmuebles,2022-12-01,1065000,11,1065000,"(0, 13)"
2544,FV-00000570,2022-12-01,A6N-13N-62-S101^2021-04-01,13802005,Arrendamientos Inmuebles,2022-12-01,1190000,11,1190000,"(0, 13)"
2546,FV-00000571,2022-12-01,A6N-13N-62-S103^2022-05-01,13802005,Arrendamientos Inmuebles,2022-12-01,790000,11,790000,"(0, 13)"
2548,FV-00000572,2022-12-01,A6N-13N-62-S104^2021-08-01,13802005,Arrendamientos Inmuebles,2022-12-01,890000,11,890000,"(0, 13)"
2550,FV-00000573,2022-12-01,A6N-13N-62-S105^2021-09-01,13802005,Arrendamientos Inmuebles,2022-12-01,925000,11,925000,"(0, 13)"
2552,FV-00000574,2022-12-01,A6N-13N-62-S108^2016-12-01,13802005,Arrendamientos Inmuebles,2022-12-01,674000,11,674000,"(0, 13)"
2554,FV-00000575,2022-12-01,A6N-13N-62-S109^2021-07-01,13802005,Arrendamientos Inmuebles,2022-12-01,502000,11,502000,"(0, 13)"
2556,FV-00000576,2022-12-01,A6N-13N-62-S110^2021-09-01,13802005,Arrendamientos Inmuebles,2022-12-01,590000,11,590000,"(0, 13)"
2558,FV-00000577,2022-12-01,A6N-13N-62-S111^2022-07-01,13802005,Arrendamientos Inmuebles,2022-12-01,650000,11,650000,"(0, 13)"
2560,FV-00000578,2022-12-01,A6N-13N-62-S112^2015-04-01,13802005,Arrendamientos Inmuebles,2022-12-01,605000,11,605000,"(0, 13)"
2562,FV-00000579,2022-12-01,A6N-13N-62-S114^2021-09-01,13802005,Arrendamientos Inmuebles,2022-12-01,580000,11,580000,"(0, 13)"
2208,FV-00000426,2022-09-01,A6N-13N-62-S202^2021-10-01,13802005,Arrendamientos Inmuebles,2022-09-01,700000,11,700000,"(3, 13)"
2564,FV-00000580,2022-12-01,A6N-13N-62-S203^2022-04-01,13802005,Arrendamientos Inmuebles,2022-12-01,700000,11,700000,"(0, 13)"
2566,FV-00000581,2022-12-01,A6N-13N-62-S204^2021-09-01,13802005,Arrendamientos Inmuebles,2022-12-01,686500,11,686500,"(0, 13)"
2568,FV-00000582,2022-12-01,A6N-13N-62-S205^2020-08-01,13802005,Arrendamientos Inmuebles,2022-12-01,800000,11,800000,"(0, 13)"
2570,FV-00000583,2022-12-01,A6N-13N-62-S208^2021-10-01,13802005,Arrendamientos Inmuebles,2022-12-01,415000,11,415000,"(0, 13)"
2528,FV-00000565,2022-11-21,A6N-13N-62-S209^2006-03-21,13802005,Arrendamientos Inmuebles,2022-11-21,476000,11,476000,"(0, 23)"
2618,FV-00000607,2022-12-08,A6N-13N-62-S211^2017-03-08,13802005,Arrendamientos Inmuebles,2022-12-08,478000,11,478000,"(0, 6)"
2572,FV-00000584,2022-12-01,A6N-13N-62-S212^2011-09-01,13802005,Arrendamientos Inmuebles,2022-12-01,650000,11,650000,"(0, 13)"
2574,FV-00000585,2022-12-01,A6N-13N-62-S214^2018-10-01,13802005,Arrendamientos Inmuebles,2022-12-01,493000,11,493000,"(0, 13)"
2450,FV-00000533,2022-11-01,A6N-13N-62-S217^2018-12-01,13802005,Arrendamientos Inmuebles,2022-11-01,496000,11,496000,"(1, 13)"
2576,FV-00000586,2022-12-01,A6N-13N-62-S217^2018-12-01,13802005,Arrendamientos Inmuebles,2022-12-01,524000,11,524000,"(0, 13)"
2620,FV-00000608,2022-12-09,A6N-13N-62-S219^2004-02-09,13802005,Arrendamientos Inmuebles,2022-12-09,480000,11,480000,"(0, 5)"
2578,FV-00000587,2022-12-01,A6N-13N-62-S222^2022-06-01,13802005,Arrendamientos Inmuebles,2022-12-01,570000,11,570000,"(0, 13)"
2582,FV-00000589,2022-12-01,A6N-13N-62-S303^2022-03-01,13802005,Arrendamientos Inmuebles,2022-12-01,700000,11,700000,"(0, 13)"
2584,FV-00000590,2022-12-01,A6N-13N-62-S304^2022-04-01,13802005,Arrendamientos Inmuebles,2022-12-01,700000,11,700000,"(0, 13)"
2586,FV-00000591,2022-12-01,A6N-13N-62-S305^2021-02-01,13802005,Arrendamientos Inmuebles,2022-12-01,785000,11,785000,"(0, 13)"
1868,FV-00000281,2022-06-01,A6N-13N-62-S306^2018-06-01,13802005,Arrendamientos Inmuebles,2022-06-01,458000,11,458000,"(6, 13)"
1994,FV-00000335,2022-07-01,A6N-13N-62-S306^2018-06-01,13802005,Arrendamientos Inmuebles,2022-07-01,458000,11,458000,"(5, 13)"
2118,FV-00000388,2022-08-01,A6N-13N-62-S306^2018-06-01,13802005,Arrendamientos Inmuebles,2022-08-01,458000,11,458000,"(4, 13)"
2588,FV-00000592,2022-12-01,A6N-13N-62-S308^2022-07-01,13802005,Arrendamientos Inmuebles,2022-12-01,390000,11,390000,"(0, 13)"
2590,FV-00000593,2022-12-01,A6N-13N-62-S309^2022-03-01,13802005,Arrendamientos Inmuebles,2022-12-01,390000,11,390000,"(0, 13)"
2592,FV-00000594,2022-12-01,A6N-13N-62-S310^2022-07-01,13802005,Arrendamientos Inmuebles,2022-12-01,390000,11,390000,"(0, 13)"
2594,FV-00000595,2022-12-01,A6N-13N-62-S311^2021-11-01,13802005,Arrendamientos Inmuebles,2022-12-01,415000,11,415000,"(0, 13)"
2596,FV-00000596,2022-12-01,A6N-13N-62-S312^2017-06-01,13802005,Arrendamientos Inmuebles,2022-12-01,530000,11,530000,"(0, 13)"
2598,FV-00000597,2022-12-01,A6N-13N-62-S314^2019-06-01,13802005,Arrendamientos Inmuebles,2022-12-01,500000,11,500000,"(0, 13)"
2600,FV-00000598,2022-12-01,A6N-13N-62-S318^2021-08-01,13802005,Arrendamientos Inmuebles,2022-12-01,323000,11,323000,"(0, 13)"
2602,FV-00000599,2022-12-01,A6N-13N-62-S319^2021-08-01,13802005,Arrendamientos Inmuebles,2022-12-01,524000,11,524000,"(0, 13)"
2604,FV-00000600,2022-12-01,A6N-13N-62-S322^2021-01-01,13802005,Arrendamientos Inmuebles,2022-12-01,480000,11,480000,"(0, 13)"
2606,FV-00000601,2022-12-01,A6N-13N-66^2019-04-01,13802005,Arrendamientos Inmuebles,2022-12-01,790000,11,790000,"(0, 13)"
2608,FV-00000602,2022-12-01,A6N-13N-68^1999-02-01,13802005,Arrendamientos Inmuebles,2022-12-01,2720000,11,2720000,"(0, 13)"
