code,accountable_ptr_id,doc_date,start_date,end_date,monthly_dates
A6N-13N-62-O1^2015-01-01,A6N-13N-62-O1^2015-01-01,2015-01-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S101^2021-04-01,A6N-13N-62-S101^2021-04-01,2021-04-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S102^2021-10-01,A6N-13N-62-S102^2021-10-01,2021-10-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S103^2020-06-01,A6N-13N-62-S103^2020-06-01,2020-06-01,2022-01-01,2022-04-30,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1)]"
A6N-13N-62-S103^2022-05-01,A6N-13N-62-S103^2022-05-01,2022-05-01,2022-05-01,,"[datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,2021-08-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,2021-09-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S108^2016-12-01,A6N-13N-62-S108^2016-12-01,2016-12-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S109^2021-07-01,A6N-13N-62-S109^2021-07-01,2021-07-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S110^2021-09-01,A6N-13N-62-S110^2021-09-01,2021-09-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S111^2021-04-01,A6N-13N-62-S111^2021-04-01,2021-04-01,2022-01-01,2022-03-31,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1)]"
A6N-13N-62-S111^2022-07-01,A6N-13N-62-S111^2022-07-01,2022-07-01,2022-06-25,,"[datetime.date(2022, 6, 25), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
